freq,age,purpose,duration,unit,geo,year,value
A,PER,DOM,N1-3,Y15-24,NR,2012,1716783.0
A,PER,DOM,N1-3,Y15-24,NR,2012,194617.0
A,PER,DOM,N1-3,Y15-24,NR,2012,989104.0
A,PER,DOM,N1-3,Y15-24,NR,2012,958967.0
A,PER,DOM,N1-3,Y15-24,NR,2012,252897.0
A,PER,DOM,N1-3,Y15-24,NR,2012,4442405.0
A,PER,DOM,N1-3,Y15-24,NR,2012,27422539.0
A,PER,DOM,N1-3,Y15-24,NR,2012,7465010.0
A,PER,DOM,N1-3,Y15-24,NR,2012,100835041.0
A,PER,DOM,N1-3,Y15-24,NR,2012,536572.0
A,PER,DOM,N1-3,Y15-24,NR,2012,597950.0
A,PER,DOM,N1-3,Y15-24,NR,2012,16614973.0
A,PER,DOM,N1-3,Y15-24,NR,2012,134800334.0
A,PER,DOM,N1-3,Y15-24,NR,2012,8584669.0
A,PER,DOM,N1-3,Y15-24,NR,2012,26546304.0
A,PER,DOM,N1-3,Y15-24,NR,2012,1482845.0
A,PER,DOM,N1-3,Y15-24,NR,2012,2882493.0
A,PER,DOM,N1-3,Y15-24,NR,2012,765065.0
A,PER,DOM,N1-3,Y15-24,NR,2012,5623816.0
A,PER,DOM,N1-3,Y15-24,NR,2012,600185.0
A,PER,DOM,N1-3,Y15-24,NR,2012,30579.0
A,PER,DOM,N1-3,Y15-24,NR,2012,807780.0
A,PER,DOM,N1-3,Y15-24,NR,2012,54461.0
A,PER,DOM,N1-3,Y15-24,NR,2012,6204896.0
A,PER,DOM,N1-3,Y15-24,NR,2012,9029943.0
A,PER,DOM,N1-3,Y15-24,NR,2012,1433773.0
A,PER,DOM,N1-3,Y15-24,NR,2012,3325572.0
A,PER,DOM,N1-3,Y15-24,NR,2012,424351.0
A,PER,DOM,N1-3,Y15-24,NR,2012,939986.0
A,PER,DOM,N1-3,Y15-24,NR,2012,16572512.0
A,PER,DOM,N1-3,Y25-34,NR,2012,1789481.0
A,PER,DOM,N1-3,Y25-34,NR,2012,466832.0
A,PER,DOM,N1-3,Y25-34,NR,2012,802765.0
A,PER,DOM,N1-3,Y25-34,NR,2012,1355852.0
A,PER,DOM,N1-3,Y25-34,NR,2012,519989.0
A,PER,DOM,N1-3,Y25-34,NR,2012,7750225.0
A,PER,DOM,N1-3,Y25-34,NR,2012,31540220.0
A,PER,DOM,N1-3,Y25-34,NR,2012,4307173.0
A,PER,DOM,N1-3,Y25-34,NR,2012,129229600.0
A,PER,DOM,N1-3,Y25-34,NR,2012,652503.0
A,PER,DOM,N1-3,Y25-34,NR,2012,1133234.0
A,PER,DOM,N1-3,Y25-34,NR,2012,26156526.0
A,PER,DOM,N1-3,Y25-34,NR,2012,168995885.0
A,PER,DOM,N1-3,Y25-34,NR,2012,7682015.0
A,PER,DOM,N1-3,Y25-34,NR,2012,37386479.0
A,PER,DOM,N1-3,Y25-34,NR,2012,1140819.0
A,PER,DOM,N1-3,Y25-34,NR,2012,4346010.0
A,PER,DOM,N1-3,Y25-34,NR,2012,1847979.0
A,PER,DOM,N1-3,Y25-34,NR,2012,6745065.0
A,PER,DOM,N1-3,Y25-34,NR,2012,793619.0
A,PER,DOM,N1-3,Y25-34,NR,2012,1241998.0
A,PER,DOM,N1-3,Y25-34,NR,2012,60256.0
A,PER,DOM,N1-3,Y25-34,NR,2012,6184997.0
A,PER,DOM,N1-3,Y25-34,NR,2012,12305000.0
A,PER,DOM,N1-3,Y25-34,NR,2012,2443370.0
A,PER,DOM,N1-3,Y25-34,NR,2012,4745293.0
A,PER,DOM,N1-3,Y25-34,NR,2012,687848.0
A,PER,DOM,N1-3,Y25-34,NR,2012,753593.0
A,PER,DOM,N1-3,Y25-34,NR,2012,20492167.0
A,PER,DOM,N1-3,Y25-44,NR,2012,4159035.0
A,PER,DOM,N1-3,Y25-44,NR,2012,1211485.0
A,PER,DOM,N1-3,Y25-44,NR,2012,1629665.0
A,PER,DOM,N1-3,Y25-44,NR,2012,2729493.0
A,PER,DOM,N1-3,Y25-44,NR,2012,898105.0
A,PER,DOM,N1-3,Y25-44,NR,2012,14627398.0
A,PER,DOM,N1-3,Y25-44,NR,2012,58282544.0
A,PER,DOM,N1-3,Y25-44,NR,2012,8192484.0
A,PER,DOM,N1-3,Y25-44,NR,2012,267255559.0
A,PER,DOM,N1-3,Y25-44,NR,2012,1051767.0
A,PER,DOM,N1-3,Y25-44,NR,2012,2267863.0
A,PER,DOM,N1-3,Y25-44,NR,2012,63947694.0
A,PER,DOM,N1-3,Y25-44,NR,2012,339467910.0
A,PER,DOM,N1-3,Y25-44,NR,2012,13686498.0
A,PER,DOM,N1-3,Y25-44,NR,2012,73904355.0
A,PER,DOM,N1-3,Y25-44,NR,2012,2312240.0
A,PER,DOM,N1-3,Y25-44,NR,2012,8493278.0
A,PER,DOM,N1-3,Y25-44,NR,2012,3939537.0
A,PER,DOM,N1-3,Y25-44,NR,2012,18219984.0
A,PER,DOM,N1-3,Y25-44,NR,2012,1374856.0
A,PER,DOM,N1-3,Y25-44,NR,2012,9468.0
A,PER,DOM,N1-3,Y25-44,NR,2012,2163145.0
A,PER,DOM,N1-3,Y25-44,NR,2012,134208.0
A,PER,DOM,N1-3,Y25-44,NR,2012,11336400.0
A,PER,DOM,N1-3,Y25-44,NR,2012,20157007.0
A,PER,DOM,N1-3,Y25-44,NR,2012,5424646.0
A,PER,DOM,N1-3,Y25-44,NR,2012,9154462.0
A,PER,DOM,N1-3,Y25-44,NR,2012,1294972.0
A,PER,DOM,N1-3,Y25-44,NR,2012,1636758.0
A,PER,DOM,N1-3,Y25-44,NR,2012,40369394.0
A,PER,DOM,N1-3,Y35-44,NR,2012,2369553.0
A,PER,DOM,N1-3,Y35-44,NR,2012,744653.0
A,PER,DOM,N1-3,Y35-44,NR,2012,826901.0
A,PER,DOM,N1-3,Y35-44,NR,2012,1373641.0
A,PER,DOM,N1-3,Y35-44,NR,2012,378116.0
A,PER,DOM,N1-3,Y35-44,NR,2012,6877173.0
A,PER,DOM,N1-3,Y35-44,NR,2012,26742324.0
A,PER,DOM,N1-3,Y35-44,NR,2012,3885311.0
A,PER,DOM,N1-3,Y35-44,NR,2012,138025959.0
A,PER,DOM,N1-3,Y35-44,NR,2012,399263.0
A,PER,DOM,N1-3,Y35-44,NR,2012,1134630.0
A,PER,DOM,N1-3,Y35-44,NR,2012,37791168.0
A,PER,DOM,N1-3,Y35-44,NR,2012,170472026.0
A,PER,DOM,N1-3,Y35-44,NR,2012,6004483.0
A,PER,DOM,N1-3,Y35-44,NR,2012,36517876.0
A,PER,DOM,N1-3,Y35-44,NR,2012,1171421.0
A,PER,DOM,N1-3,Y35-44,NR,2012,4147268.0
A,PER,DOM,N1-3,Y35-44,NR,2012,2091558.0
A,PER,DOM,N1-3,Y35-44,NR,2012,11474919.0
A,PER,DOM,N1-3,Y35-44,NR,2012,581237.0
A,PER,DOM,N1-3,Y35-44,NR,2012,921146.0
A,PER,DOM,N1-3,Y35-44,NR,2012,73952.0
A,PER,DOM,N1-3,Y35-44,NR,2012,5151403.0
A,PER,DOM,N1-3,Y35-44,NR,2012,7852007.0
A,PER,DOM,N1-3,Y35-44,NR,2012,2981276.0
A,PER,DOM,N1-3,Y35-44,NR,2012,4409169.0
A,PER,DOM,N1-3,Y35-44,NR,2012,607124.0
A,PER,DOM,N1-3,Y35-44,NR,2012,883165.0
A,PER,DOM,N1-3,Y35-44,NR,2012,19877227.0
A,PER,DOM,N1-3,Y45-54,NR,2012,2572206.0
A,PER,DOM,N1-3,Y45-54,NR,2012,607337.0
A,PER,DOM,N1-3,Y45-54,NR,2012,556163.0
A,PER,DOM,N1-3,Y45-54,NR,2012,1509520.0
A,PER,DOM,N1-3,Y45-54,NR,2012,217758.0
A,PER,DOM,N1-3,Y45-54,NR,2012,5100594.0
A,PER,DOM,N1-3,Y45-54,NR,2012,31604557.0
A,PER,DOM,N1-3,Y45-54,NR,2012,3870546.0
A,PER,DOM,N1-3,Y45-54,NR,2012,123571511.0
A,PER,DOM,N1-3,Y45-54,NR,2012,250036.0
A,PER,DOM,N1-3,Y45-54,NR,2012,1190727.0
A,PER,DOM,N1-3,Y45-54,NR,2012,35792883.0
A,PER,DOM,N1-3,Y45-54,NR,2012,149706560.0
A,PER,DOM,N1-3,Y45-54,NR,2012,6349600.0
A,PER,DOM,N1-3,Y45-54,NR,2012,23276647.0
A,PER,DOM,N1-3,Y45-54,NR,2012,953587.0
A,PER,DOM,N1-3,Y45-54,NR,2012,2619355.0
A,PER,DOM,N1-3,Y45-54,NR,2012,1668731.0
A,PER,DOM,N1-3,Y45-54,NR,2012,9049665.0
A,PER,DOM,N1-3,Y45-54,NR,2012,515375.0
A,PER,DOM,N1-3,Y45-54,NR,2012,710437.0
A,PER,DOM,N1-3,Y45-54,NR,2012,59636.0
A,PER,DOM,N1-3,Y45-54,NR,2012,5485781.0
A,PER,DOM,N1-3,Y45-54,NR,2012,6273860.0
A,PER,DOM,N1-3,Y45-54,NR,2012,2168635.0
A,PER,DOM,N1-3,Y45-54,NR,2012,2599602.0
A,PER,DOM,N1-3,Y45-54,NR,2012,506018.0
A,PER,DOM,N1-3,Y45-54,NR,2012,585588.0
A,PER,DOM,N1-3,Y45-54,NR,2012,24871767.0
A,PER,DOM,N1-3,Y45-64,NR,2012,4259181.0
A,PER,DOM,N1-3,Y45-64,NR,2012,1147159.0
A,PER,DOM,N1-3,Y45-64,NR,2012,963022.0
A,PER,DOM,N1-3,Y45-64,NR,2012,2156605.0
A,PER,DOM,N1-3,Y45-64,NR,2012,417960.0
A,PER,DOM,N1-3,Y45-64,NR,2012,12334852.0
A,PER,DOM,N1-3,Y45-64,NR,2012,55713421.0
