freq,sex,purpose,duration,unit,geo,year,value
A,DOM,PER,N1-3,F,NR,2012,3155661.0
A,DOM,PER,N1-3,F,NR,2012,756712.0
A,DOM,PER,N1-3,F,NR,2012,1029215.0
A,DOM,PER,N1-3,F,NR,2012,2156668.0
A,DOM,PER,N1-3,F,NR,2012,562933.0
A,DOM,PER,N1-3,F,NR,2012,9846620.0
A,DOM,PER,N1-3,F,NR,2012,43068966.0
A,DOM,PER,N1-3,F,NR,2012,9028459.0
A,DOM,PER,N1-3,F,NR,2012,188673711.0
A,DOM,PER,N1-3,F,NR,2012,778373.0
A,DOM,PER,N1-3,F,NR,2012,1354127.0
A,DOM,PER,N1-3,F,NR,2012,42185413.0
A,DOM,PER,N1-3,F,NR,2012,239929607.0
A,DOM,PER,N1-3,F,NR,2012,10781557.0
A,DOM,PER,N1-3,F,NR,2012,51077710.0
A,DOM,PER,N1-3,F,NR,2012,1354930.0
A,DOM,PER,N1-3,F,NR,2012,5552625.0
A,DOM,PER,N1-3,F,NR,2012,2825631.0
A,DOM,PER,N1-3,F,NR,2012,11099479.0
A,DOM,PER,N1-3,F,NR,2012,924391.0
A,DOM,PER,N1-3,F,NR,2012,17357.0
A,DOM,PER,N1-3,F,NR,2012,1785935.0
A,DOM,PER,N1-3,F,NR,2012,79812.0
A,DOM,PER,N1-3,F,NR,2012,10701192.0
A,DOM,PER,N1-3,F,NR,2012,11821378.0
A,DOM,PER,N1-3,F,NR,2012,4480982.0
A,DOM,PER,N1-3,F,NR,2012,4851277.0
A,DOM,PER,N1-3,F,NR,2012,725907.0
A,DOM,PER,N1-3,F,NR,2012,956643.0
A,DOM,PER,N1-3,F,NR,2012,34691321.0
A,DOM,PER,N1-3,M,NR,2012,2621451.0
A,DOM,PER,N1-3,M,NR,2012,733169.0
A,DOM,PER,N1-3,M,NR,2012,912071.0
A,DOM,PER,N1-3,M,NR,2012,1748452.0
A,DOM,PER,N1-3,M,NR,2012,511631.0
A,DOM,PER,N1-3,M,NR,2012,8782282.0
A,DOM,PER,N1-3,M,NR,2012,41839098.0
A,DOM,PER,N1-3,M,NR,2012,8314450.0
A,DOM,PER,N1-3,M,NR,2012,182716271.0
A,DOM,PER,N1-3,M,NR,2012,575595.0
A,DOM,PER,N1-3,M,NR,2012,1304800.0
A,DOM,PER,N1-3,M,NR,2012,41354165.0
A,DOM,PER,N1-3,M,NR,2012,231334824.0
A,DOM,PER,N1-3,M,NR,2012,10701781.0
A,DOM,PER,N1-3,M,NR,2012,50013124.0
A,DOM,PER,N1-3,M,NR,2012,1673162.0
A,DOM,PER,N1-3,M,NR,2012,4851686.0
A,DOM,PER,N1-3,M,NR,2012,2163962.0
A,DOM,PER,N1-3,M,NR,2012,11815339.0
A,DOM,PER,N1-3,M,NR,2012,876597.0
A,DOM,PER,N1-3,M,NR,2012,20772.0
A,DOM,PER,N1-3,M,NR,2012,1483441.0
A,DOM,PER,N1-3,M,NR,2012,85823.0
A,DOM,PER,N1-3,M,NR,2012,8953887.0
A,DOM,PER,N1-3,M,NR,2012,11732579.0
A,DOM,PER,N1-3,M,NR,2012,4176076.0
A,DOM,PER,N1-3,M,NR,2012,4767647.0
A,DOM,PER,N1-3,M,NR,2012,878048.0
A,DOM,PER,N1-3,M,NR,2012,934350.0
A,DOM,PER,N1-3,M,NR,2012,31404702.0
A,DOM,PER,N1-3,T,NR,2012,5777112.0
A,DOM,PER,N1-3,T,NR,2012,1489881.0
A,DOM,PER,N1-3,T,NR,2012,1941286.0
A,DOM,PER,N1-3,T,NR,2012,3905121.0
A,DOM,PER,N1-3,T,NR,2012,1074564.0
A,DOM,PER,N1-3,T,NR,2012,18628902.0
A,DOM,PER,N1-3,T,NR,2012,84908064.0
A,DOM,PER,N1-3,T,NR,2012,17342909.0
A,DOM,PER,N1-3,T,NR,2012,371389983.0
A,DOM,PER,N1-3,T,NR,2012,1353968.0
A,DOM,PER,N1-3,T,NR,2012,2658927.0
A,DOM,PER,N1-3,T,NR,2012,83539578.0
A,DOM,PER,N1-3,T,NR,2012,471264431.0
A,DOM,PER,N1-3,T,NR,2012,21483338.0
A,DOM,PER,N1-3,T,NR,2012,101090835.0
A,DOM,PER,N1-3,T,NR,2012,3028091.0
A,DOM,PER,N1-3,T,NR,2012,10404311.0
A,DOM,PER,N1-3,T,NR,2012,4989593.0
A,DOM,PER,N1-3,T,NR,2012,22914818.0
A,DOM,PER,N1-3,T,NR,2012,1800988.0
A,DOM,PER,N1-3,T,NR,2012,38128.0
A,DOM,PER,N1-3,T,NR,2012,3269376.0
A,DOM,PER,N1-3,T,NR,2012,165635.0
A,DOM,PER,N1-3,T,NR,2012,19655079.0
A,DOM,PER,N1-3,T,NR,2012,23553957.0
A,DOM,PER,N1-3,T,NR,2012,8657057.0
A,DOM,PER,N1-3,T,NR,2012,9618923.0
A,DOM,PER,N1-3,T,NR,2012,1603955.0
A,DOM,PER,N1-3,T,NR,2012,1890993.0
A,DOM,PER,N1-3,T,NR,2012,66096023.0
A,DOM,PER,N_GE1,F,NR,2012,4871291.0
A,DOM,PER,N_GE1,F,NR,2012,1310191.0
A,DOM,PER,N_GE1,F,NR,2012,1572120.0
A,DOM,PER,N_GE1,F,NR,2012,3400448.0
A,DOM,PER,N_GE1,F,NR,2012,702209.0
A,DOM,PER,N_GE1,F,NR,2012,13805988.0
A,DOM,PER,N_GE1,F,NR,2012,67953220.0
A,DOM,PER,N_GE1,F,NR,2012,10755789.0
A,DOM,PER,N_GE1,F,NR,2012,300555634.0
A,DOM,PER,N_GE1,F,NR,2012,943926.0
A,DOM,PER,N_GE1,F,NR,2012,3249673.0
A,DOM,PER,N_GE1,F,NR,2012,59159624.0
A,DOM,PER,N_GE1,F,NR,2012,374458793.0
A,DOM,PER,N_GE1,F,NR,2012,13582647.0
A,DOM,PER,N_GE1,F,NR,2012,94154623.0
