freq,income,unit,geo,year,value,income_id
A,PER,DOM,Q1,2012,390499.0,2012_Q1_PER
A,PER,DOM,Q1,2012,1746646.0,2012_Q1_PER
A,PER,DOM,Q1,2012,1356147.0,2012_Q1_PER
A,PER,DOM,Q2,2012,328306.0,2012_Q2_PER
A,PER,DOM,Q2,2012,465564.0,2012_Q2_PER
A,PER,DOM,Q3,2012,421117.0,2012_Q3_PER
A,PER,DOM,Q3,2012,682595.0,2012_Q3_PER
A,PER,DOM,Q4,2012,1173931.0,2012_Q4_PER
A,PER,DOM,Q4,2012,1595447.0,2012_Q4_PER
A,PER,DOM,Q4,2012,421516.0,2012_Q4_PER
A,PER,DOM,TOTAL,2012,11614059.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2900170.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,3842109.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,6866989.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,1823074.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,36200298.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,167615290.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,26928655.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2313852.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,5495625.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,166220655.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,39189392.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,184861260.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,5817978.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,20305731.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,8905635.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,42155530.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,3283417.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,54737.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,4741715.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,330686.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,33326859.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,47242930.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,13546352.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,19599109.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2994580.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,3918960.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,120588222.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,33244872.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,10614008.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,11472056.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,23911932.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,4283424.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,93177462.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,486135358.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,48635464.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,4490253.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,45245827.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,511456481.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,73470314.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,967732011.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,26059625.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,44102860.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,17214765.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,269361020.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,6168173.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,114612.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,7678334.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,583761.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,106035696.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,180907884.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,45267559.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,58910475.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,5358753.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,16404408.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,289985777.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,21630813.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,7713838.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,7629947.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,17044943.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2460350.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,56977164.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,318520067.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,21706809.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2176400.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,39750202.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,345235825.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,34280922.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,782870751.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,20241647.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,23797129.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,8309130.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,227205490.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2884756.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2936620.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,253075.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,72708836.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,133664955.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,31721207.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,39311366.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,2364172.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,12485448.0,2012_TOTAL_PER
A,PER,DOM,TOTAL,2012,169397555.0,2012_TOTAL_PER
A,PER,DOM,UNK,2012,11614059.0,2012_UNK_PER
A,PER,DOM,UNK,2012,2900170.0,2012_UNK_PER
A,PER,DOM,UNK,2012,3842109.0,2012_UNK_PER
A,PER,DOM,UNK,2012,6866989.0,2012_UNK_PER
A,PER,DOM,UNK,2012,1823074.0,2012_UNK_PER
A,PER,DOM,UNK,2012,36200298.0,2012_UNK_PER
A,PER,DOM,UNK,2012,167615290.0,2012_UNK_PER
A,PER,DOM,UNK,2012,26928655.0,2012_UNK_PER
A,PER,DOM,UNK,2012,5495625.0,2012_UNK_PER
A,PER,DOM,UNK,2012,166220655.0,2012_UNK_PER
A,PER,DOM,UNK,2012,39189392.0,2012_UNK_PER
A,PER,DOM,UNK,2012,184861260.0,2012_UNK_PER
A,PER,DOM,UNK,2012,5817978.0,2012_UNK_PER
A,PER,DOM,UNK,2012,20305731.0,2012_UNK_PER
A,PER,DOM,UNK,2012,8905635.0,2012_UNK_PER
A,PER,DOM,UNK,2012,42155530.0,2012_UNK_PER
A,PER,DOM,UNK,2012,3283417.0,2012_UNK_PER
A,PER,DOM,UNK,2012,54737.0,2012_UNK_PER
A,PER,DOM,UNK,2012,4741715.0,2012_UNK_PER
A,PER,DOM,UNK,2012,330686.0,2012_UNK_PER
A,PER,DOM,UNK,2012,33326859.0,2012_UNK_PER
A,PER,DOM,UNK,2012,47242930.0,2012_UNK_PER
A,PER,DOM,UNK,2012,13546352.0,2012_UNK_PER
A,PER,DOM,UNK,2012,19599109.0,2012_UNK_PER
A,PER,DOM,UNK,2012,2994580.0,2012_UNK_PER
A,PER,DOM,UNK,2012,3918960.0,2012_UNK_PER
A,PER,DOM,UNK,2012,120588222.0,2012_UNK_PER
A,PER,DOM,UNK,2012,33244872.0,2012_UNK_PER
A,PER,DOM,UNK,2012,10614008.0,2012_UNK_PER
A,PER,DOM,UNK,2012,11472056.0,2012_UNK_PER
A,PER,DOM,UNK,2012,23911932.0,2012_UNK_PER
A,PER,DOM,UNK,2012,4283424.0,2012_UNK_PER
A,PER,DOM,UNK,2012,93177462.0,2012_UNK_PER
A,PER,DOM,UNK,2012,486135358.0,2012_UNK_PER
A,PER,DOM,UNK,2012,48635464.0,2012_UNK_PER
A,PER,DOM,UNK,2012,45245827.0,2012_UNK_PER
A,PER,DOM,UNK,2012,511456481.0,2012_UNK_PER
A,PER,DOM,UNK,2012,73470314.0,2012_UNK_PER
A,PER,DOM,UNK,2012,967732011.0,2012_UNK_PER
A,PER,DOM,UNK,2012,26059625.0,2012_UNK_PER
A,PER,DOM,UNK,2012,44102860.0,2012_UNK_PER
A,PER,DOM,UNK,2012,17214765.0,2012_UNK_PER
A,PER,DOM,UNK,2012,269361020.0,2012_UNK_PER
A,PER,DOM,UNK,2012,6168173.0,2012_UNK_PER
A,PER,DOM,UNK,2012,114612.0,2012_UNK_PER
A,PER,DOM,UNK,2012,7678334.0,2012_UNK_PER
