freq,purpose,duration,c_dest,expend,statinfo,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,AL	: 	: 	: 	: 	: 	2.38 	: 	3.88 	9.51 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,AT	66.02 	50.64 	46.01 	51.48 	54.07 	55.03 	56.24 	56.22 	51.82 	50.29 	57.58 	67.50 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,BE	36.76 	39.50 	37.12 	37.13 	34.41 	39.76 b	34.96 	37.88 	37.23 	40.52 	44.16 	48.16 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,BG	4.58 b	5.42 	6.66 	6.40 	6.41 	5.85 	5.60 	8.66 	9.62 	12.74 	16.82 	18.54 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,CH	39.76 	47.91 	46.39 	53.58 	52.03 	53.80 	52.26 	55.43 	60.78 	70.47 	72.51 	: 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,CY	21.33 b	12.45 	19.05 	16.97 	15.14 	15.87 	16.64 	17.38 	22.03 	22.27 	23.76 	31.08 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,CZ	2.04 	2.09 	1.93 	2.58 	3.39 	3.39 	4.20 	4.62 	3.86 	4.00 	6.91 	9.06 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,DE	24.86 	27.70 	24.70 	24.47 	26.45 	27.99 	30.55 	30.57 	23.55 	26.38 	38.54 	41.30 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,DK	18.02 	33.78 b	35.45 b	31.85 	39.90 	20.09 	26.52 	39.59 	20.16 	16.82 	22.96 	30.47 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,EA20	15.70 	16.42 	15.47 	16.81 	17.69 	18.54 	19.80 	20.92 	19.28 	19.96 	25.36 	28.11 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,EE	7.38 	6.60 	6.65 	9.07 	10.09 	10.17 	15.32 	17.84 	22.70 	30.62 	30.11 	29.49 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,EL	9.20 	10.04 	9.71 	11.20 	11.51 	11.92 	14.48 	15.97 	11.96 	17.13 	17.61 	19.78 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,ES	8.34 	9.15 	9.16 	10.33 b	10.20 	10.92 	11.97 	13.45 	11.78 	14.50 	16.82 	18.84 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,EU27_2020	14.53 e	15.69 e	14.61 	15.88 	16.86 	17.40 	18.21 	19.69 	17.40 	18.50 	23.32 	26.21 e
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,FI	12.86 b	12.42 	11.96 	11.75 	12.18 	12.66 	13.24 	14.56 	12.96 	12.26 	16.16 	18.51 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,FR	10.42 b	10.60 	11.01 	11.60 	12.44 	14.62 	14.53 	15.20 	15.02 	14.91 	19.05 	22.01 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,HR	6.53 	6.70 	5.85 	5.49 	10.19 	11.23 	11.19 	11.92 	11.02 	18.43 	18.30 	19.69 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,HU	6.95 	7.57 	8.94 	9.71 	10.93 	13.76 	15.19 	16.98 	16.97 	16.13 	22.41 	28.37 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,IE	31.47 	31.77 	32.17 	34.23 	36.08 	38.99 	35.44 	40.29 	43.60 	49.41 	49.13 	50.32 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,IT	25.92 	25.26 	23.03 b	29.48 	29.01 	27.94 	27.93 	33.19 	35.87 	33.30 	37.09 	36.93 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,LT	7.17 	5.90 	7.91 	10.50 	13.75 	15.60 	15.94 	18.10 	18.84 	21.46 	25.90 	27.35 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,LU	18.98 	20.10 	39.60 	48.08 u	31.13 u	21.41 	54.04 	50.24 	62.61 	56.44 	65.04 	66.71 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,LV	1.60 	2.51 	2.49 	2.07 	2.02 	2.25 	3.72 	3.55 	5.79 	8.01 	6.71 	7.71 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,ME	: 	: 	: 	: 	2.68 	3.53 	: 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,MK	: 	: 	: 	: 	: 	: 	: 	6.83 	7.60 	8.04 	: 	: 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,MT	28.77 	18.29 	24.86 b	22.57 	23.96 	25.20 	25.15 	24.51 	23.47 	28.35 	29.48 	29.61 
A,PER,N1-3,DOM,ACCOM,AVG_NGT,EUR,NL	13.61 b	14.28 	13.29 	16.38 	18.40 	18.55 	23.06 	20.64 	23.11 	26.82 	32.54 	34.49 
