freq,purpose,c_dest,duration,age,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,DOM,N1-3,Y15-24,NR,AL	: 	: 	: 	: 	: 	815878 	: 	773740 	486390 	: 	: 	: 
A,PER,DOM,N1-3,Y15-24,NR,AT	1716783 	1881068 	1711578 	1577217 	1956490 	1837386 	1871739 	2044466 	1543619 	1889960 	2886705 	2207345 
A,PER,DOM,N1-3,Y15-24,NR,BE	194617 u	287394 	194586 	378535 	214340 	409604 b	520075 	535349 	513967 	698793 	617141 	507323 
A,PER,DOM,N1-3,Y15-24,NR,BG	989104 b	881981 	691500 	467668 	475164 	911906 	733618 	631363 	352139 	457406 	491589 	563691 
A,PER,DOM,N1-3,Y15-24,NR,CH	958967 u	799593 u	694026 u	856549 u	1007354 u	666201 u	456367 u	898414 u	1169447 u	1211978 u	1633178 u	: 
A,PER,DOM,N1-3,Y15-24,NR,CY	252897 b	149375 	163676 	135195 	163979 	130446 	99659 	129722 	175923 	157440 	150731 	152069 
A,PER,DOM,N1-3,Y15-24,NR,CZ	4442405 	3987496 	4341161 	3107264 	3232712 	3989150 	3172663 	3208008 	2133483 	2506143 	4153175 	2812808 
A,PER,DOM,N1-3,Y15-24,NR,DE	27422539 	34140577 	29425805 	34946723 	28984709 	27835164 	27124091 	30085401 	17856028 	24965107 	19370864 	25192650 
A,PER,DOM,N1-3,Y15-24,NR,DK	7465010 	6821123 b	7535186 	5435722 	6842618 	5009163 	1728709 	4197065 	4461969 	2658235 	2651382 	2302327 
A,PER,DOM,N1-3,Y15-24,NR,EA20	100835041 	104302162 	96775663 	91336642 	90474677 	102235861 	99147663 	101123325 	62766640 	81663893 	74475491 	94521871 
A,PER,DOM,N1-3,Y15-24,NR,EE	536572 	457176 	862528 	682600 	882283 	891953 	1064424 	921927 	460572 	577222 	612893 	689847 
A,PER,DOM,N1-3,Y15-24,NR,EL	597950 	288193 	460136 	351050 	321834 	353458 	406636 	366728 	287055 	340699 	355534 	403910 
A,PER,DOM,N1-3,Y15-24,NR,ES	16614973 	17412099 	14855990 	19010752 b	22333273 	23593966 	23953889 	23078530 	14688048 	21072872 	17479853 	13425191 
A,PER,DOM,N1-3,Y15-24,NR,EU27_2020	134800334 e	136053173 e	127922017 	119169124 	119540466 	130564839 	123973037 	129221366 	87667452 	105023772 	103293285 	128339043 e
A,PER,DOM,N1-3,Y15-24,NR,FI	8584669 b	7964583 	7585304 	7411264 	7179479 	7778213 	6537348 	6140514 	4519008 	6849791 	5615574 	4146678 
A,PER,DOM,N1-3,Y15-24,NR,FR	26546304 	26766645 	27121610 	14604105 	14571411 	25793047 	23260915 	22773094 	11503764 	11303876 	13909995 	34723284 
A,PER,DOM,N1-3,Y15-24,NR,HR	1482845 	1335684 	1316546 	743063 	500657 	485319 	392298 	470127 	417076 	479116 	463525 	345576 
A,PER,DOM,N1-3,Y15-24,NR,HU	2882493 	2046575 	2328062 	2741598 	2238049 	2092995 	2073456 	2342603 	1201369 	1451800 	1683526 	1684074 
A,PER,DOM,N1-3,Y15-24,NR,IE	765065 	784421 	763652 	755540 	976403 	1002842 	1274381 	1259738 	978360 	588240 	1469275 	1236018 
A,PER,DOM,N1-3,Y15-24,NR,IT	5623816 	3163910 	3802999 b	2609226 	3898190 	3412241 	4909903 	4552877 	2896984 	2504666 	3508991 	3036692 
A,PER,DOM,N1-3,Y15-24,NR,LT	600185 	554743 	605290 	606730 	564760 	558100 	565058 	632102 	540468 	674205 	689962 	725950 
A,PER,DOM,N1-3,Y15-24,NR,LU	30579 u	39191 u	: u	: u	: u	: u	14842 u	: u	37459 	36769 	28985 	53506 
A,PER,DOM,N1-3,Y15-24,NR,LV	807780 	679546 	693289 	576759 	628247 	476315 	466591 	433761 	123351 u	434383 	414497 	433987 
A,PER,DOM,N1-3,Y15-24,NR,ME	: 	: 	: 	: 	201053 	186487 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y15-24,NR,MK	: 	: 	: 	: 	: 	: 	: 	20781 u	30715 u	35612 u	: 	: 
A,PER,DOM,N1-3,Y15-24,NR,MT	54461 u	73435 u	76255 b	64954 	170995 	62632 	66899 	72032 	109239 	81443 	78591 	93935 
A,PER,DOM,N1-3,Y15-24,NR,NL	6204896 b	5548212 	4784401 	4075843 	4166670 	4697671 	3939385 	4419265 	3817321 	6128780 	3593198 	3558478 
A,PER,DOM,N1-3,Y15-24,NR,NO	: 	1904908 	2417436 	2038090 	1682832 	2009461 	3028879 	: 	: 	2930433 	2658945 	2985310 
A,PER,DOM,N1-3,Y15-24,NR,PL	9029943 	8776760 	6894680 b	6417473 	7139660 	7944113 	8567645 	8087090 	4747033 	5431894 	7159612 	8051086 
A,PER,DOM,N1-3,Y15-24,NR,PT	1433773 	1653581 	1636639 	1705688 	1613326 	1897372 	1971519 	2331490 	1722353 	1795666 	2210277 	2372697 
