freq,purpose,c_dest,quant_inc,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,DOM,Q1,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	626985 	526808 	951436 
A,PER,DOM,Q1,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	4001330 	3495670 	2943507 	1913826 	2256921 
A,PER,DOM,Q1,N1-3,NR,EE	390499 	522204 	520881 	479882 	506348 	556430 	922004 	537917 	267173 	406646 	382994 	510143 
A,PER,DOM,Q1,N1-3,NR,NL	: 	5485789 	5351182 	5816196 	5362345 	2985195 	3094342 	2796998 	3683028 	5220408 	2399298 	3187616 
A,PER,DOM,Q1,N1-3,NR,RO	: 	9033370 	8897169 	8063020 	7429870 	5947728 	5590018 	5019227 	2601558 	4142065 	3392730 	5965015 
A,PER,DOM,Q1,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1087305 	1695217 	2365753 
A,PER,DOM,Q1,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	10703836 	8413342 	6601688 	4751918 	5432637 
A,PER,DOM,Q1,N_GE1,NR,EE	1746646 	833062 	851808 	834265 	984975 	971224 	1253609 	918025 	444395 	816922 	563961 	1006936 
A,PER,DOM,Q1,N_GE1,NR,NL	: 	19779450 	18116667 	20429092 	20464758 	9185827 	9608391 	12556389 	14218032 	13774390 	7380715 	8172182 
A,PER,DOM,Q1,N_GE1,NR,RO	: 	22375016 	21048743 	17761082 	15904386 	13381433 	13013946 	11561056 	6305114 	10014767 	7880238 	14978573 
A,PER,DOM,Q1,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	460320 u	1168409 u	1414316 
A,PER,DOM,Q1,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	6702506 	4917672 	3658182 	2838092 	3175716 
A,PER,DOM,Q1,N_GE4,NR,EE	1356147 u	310858 	330927 	354383 	478627 u	414794 u	331605 u	380108 u	: u	410275 u	: u	496793 u
A,PER,DOM,Q1,N_GE4,NR,NL	: 	14293661 	12765485 	14612896 	15102413 	6200633 	6514049 	9759390 	10535004 	8553982 	4981417 	4984566 
A,PER,DOM,Q1,N_GE4,NR,RO	: 	13341646 	12151574 	9698062 	8474516 	7433705 	7423928 	6541829 	3703556 	5872703 	4487507 	9013559 
A,PER,DOM,Q2,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	870389 	1276803 	1578690 
A,PER,DOM,Q2,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	4423712 	5267914 	3622499 	3919782 	3393026 
A,PER,DOM,Q2,N1-3,NR,EE	328306 	374633 	864916 	610208 	811547 	694228 	1210991 	887582 	524875 	530052 	671874 	828385 
A,PER,DOM,Q2,N1-3,NR,NL	: 	7313093 	6836427 	5435882 	6058676 	5677352 	5413792 	6126310 	10635066 	6559416 	4244218 	4431803 
A,PER,DOM,Q2,N1-3,NR,RO	: 	8759959 	9799692 	9633696 	10138802 	10348700 	8961958 	8082942 	4565292 	5570817 	4794280 	3948249 
A,PER,DOM,Q2,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	3005589 	3589419 	3667184 
A,PER,DOM,Q2,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	12818464 	12843436 	9229578 	7946552 	7505887 
A,PER,DOM,Q2,N_GE1,NR,EE	465564 	571397 	1166081 	1037828 	1033587 	1117753 	1583831 	1127070 	822584 	942802 	1033170 	1123310 
A,PER,DOM,Q2,N_GE1,NR,NL	: 	25621375 	23266461 	21439039 	22043912 	27624284 	27409358 	26922802 	46815451 	23888042 	16563879 	18604287 
A,PER,DOM,Q2,N_GE1,NR,RO	: 	24350069 	26205030 	24671439 	24642048 	23156839 	19659653 	18250966 	10210386 	11966061 	10255418 	8111043 
A,PER,DOM,Q2,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2135200 	2312616 	2088495 
A,PER,DOM,Q2,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	8394752 	7575522 	5607079 	4026770 	4112861 
A,PER,DOM,Q2,N_GE4,NR,EE	: u	196764 u	301165 	427620 	222040 u	423525 u	372840 u	239488 u	297709 u	412750 u	361296 u	294925 u
A,PER,DOM,Q2,N_GE4,NR,NL	: 	18308282 	16430034 	16003158 	15985236 	21946933 	21995566 	20796491 	36180385 	17328626 	12319662 	14172484 
A,PER,DOM,Q2,N_GE4,NR,RO	: 	15590109 	16405338 	15037743 	14503246 	12808139 	10697695 	10168024 	5645094 	6395243 	5461138 	4162794 
A,PER,DOM,Q3,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1757741 	1702493 	1629377 
A,PER,DOM,Q3,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	6581281 	6925743 	5010312 	4892487 	4189272 
A,PER,DOM,Q3,N1-3,NR,EE	421117 	464429 	790876 	981997 	1142458 	1091798 	1705476 	1175770 	716734 	747055 	1038195 	1112338 
A,PER,DOM,Q3,N1-3,NR,NL	: 	9854303 	9818619 	9669270 	9495517 	8605344 	8339166 	7763084 	5112607 	9283467 	7388858 	7447833 
A,PER,DOM,Q3,N1-3,NR,RO	: 	2824500 	2753902 	2755234 	3904158 	5682573 	7538754 	8896574 	6287528 	9558378 	11134006 	12080753 
A,PER,DOM,Q3,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	4482468 	4323051 	3767381 
A,PER,DOM,Q3,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	15872400 	15440403 	11390585 	10939746 	9219044 
A,PER,DOM,Q3,N_GE1,NR,EE	682595 	691982 	1066929 	1390119 	1541084 	1508539 	2187336 	1506246 	1007962 	1057477 	1409701 	1596249 
A,PER,DOM,Q3,N_GE1,NR,NL	: 	32731816 	32095714 	32156157 	33710762 	30450592 	30992962 	29164968 	18354085 	33198562 	27540123 	27398263 
A,PER,DOM,Q3,N_GE1,NR,RO	: 	10527851 	8789546 	8745164 	11883515 	16269108 	20966687 	24746616 	16585521 	23856730 	24936590 	25989054 
A,PER,DOM,Q3,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2724727 	2620558 	2138004 
A,PER,DOM,Q3,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	9291119 	8514661 	6380273 	6047258 	5029772 
A,PER,DOM,Q3,N_GE4,NR,EE	: u	227553 	276053 	408121 	398626 u	416741 u	481860 u	330477 u	291228 u	310422 u	371507 u	483911 u
A,PER,DOM,Q3,N_GE4,NR,NL	: 	22877513 	22277095 	22486887 	24215245 	21845248 	22653796 	21401884 	13241477 	23915094 	20151265 	19950430 
A,PER,DOM,Q3,N_GE4,NR,RO	: 	7703352 	6035644 	5989929 	7979357 	10586535 	13427933 	15850042 	10297994 	14298352 	13802584 	13908301 
A,PER,DOM,Q4,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	3755028 	2641645 	2166133 
A,PER,DOM,Q4,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	7152986 	6867556 	4758465 	4922394 	4569928 
A,PER,DOM,Q4,N1-3,NR,EE	1173931 	979782 	1221832 	1457999 	1711890 	1796737 	2027722 	1746731 	1237752 	1207992 	1440636 	1636219 
A,PER,DOM,Q4,N1-3,NR,NL	: 	6999184 	7014493 	6453909 	6809897 	10328743 	9697392 	10216246 	3023063 	14891514 	11314890 	11180661 
A,PER,DOM,Q4,N1-3,NR,RO	: 	387801 	246321 	244404 	457078 	594414 	962431 	1395565 	1502120 	3283127 	4123146 	5066673 
A,PER,DOM,Q4,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	10538367 	5064476 	4834662 
A,PER,DOM,Q4,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	15605518 	16890771 	11454164 	9680341 	9330315 
A,PER,DOM,Q4,N_GE1,NR,EE	1595447 	1357900 	1669676 	1972537 	2135190 	2397678 	2516778 	2465591 	1846084 	1890070 	1808013 	2099087 
A,PER,DOM,Q4,N_GE1,NR,NL	: 	17431787 	17740885 	17644961 	19035549 	28907540 	27736662 	29005958 	11168822 	45130915 	31815092 	31602085 
A,PER,DOM,Q4,N_GE1,NR,RO	: 	1976465 	842765 	1057816 	1451382 	2719231 	3141552 	5420558 	5331532 	9765807 	11787599 	13789611 
A,PER,DOM,Q4,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	6783339 	2422831 	2668528 
A,PER,DOM,Q4,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	8452532 	10023215 	6695699 	4757947 	4760388 
A,PER,DOM,Q4,N_GE4,NR,EE	421516 u	378119 	447843 	514538 	423300 u	600941 u	489056 u	718860 	608332 u	682078 	367378 u	462868 u
A,PER,DOM,Q4,N_GE4,NR,NL	: 	10432603 	10726392 	11191052 	12225653 	18578797 	18039269 	18789712 	8145759 	30239401 	20500202 	20421424 
A,PER,DOM,Q4,N_GE4,NR,RO	: 	1588664 	596444 	813412 	994304 	2124817 	2179121 	4024993 	3829412 	6482680 	7664453 	8722938 
A,PER,DOM,TOTAL,N1-3,NR,AL	: 	: 	: 	: 	: 	3799000 	: 	4385616 	2710029 	: 	: 	: 
A,PER,DOM,TOTAL,N1-3,NR,AT	11614059 	12376376 	13302874 	12529539 	13701664 	13388734 	14018212 	15189831 	12233034 	12908098 	18033947 	17792079 
A,PER,DOM,TOTAL,N1-3,NR,BE	2900170 	3148329 	2689760 	4122410 	3203589 	4180516 b	4525446 	5225267 	4223336 	7010143 	6147748 	6325636 
A,PER,DOM,TOTAL,N1-3,NR,BG	3842109 	3846551 	4071907 	3032569 	3364116 	5733767 	5021649 	4871905 	2608587 	3810895 	4156231 	4484780 
A,PER,DOM,TOTAL,N1-3,NR,CH	6866989 	7743597 	6967693 	6853942 	6893722 	7052225 	6270958 	7083808 	7366468 	7991199 	7803821 	: 
A,PER,DOM,TOTAL,N1-3,NR,CY	1823074 	1537768 	1607076 	1857829 	1903611 	1949968 	2106611 	2224148 	2420453 	2833921 	2429087 	2245089 
A,PER,DOM,TOTAL,N1-3,NR,CZ	36200298 	33439028 	37078080 	31471676 	34237876 	38692095 	35701446 	35583530 	24998821 	27986259 	33641220 	25663027 
A,PER,DOM,TOTAL,N1-3,NR,DE	167615290 	175945063 	161836384 	178011814 	168656004 	158998081 	165653957 	169979739 	109041635 	135543458 	137011532 	160783148 
A,PER,DOM,TOTAL,N1-3,NR,DK	26928655 	29541173 b	30055318 	30299877 	26815133 	22321093 	12278571 	22159308 	22556883 	16334782 	15648490 	14409147 
A,PER,DOM,TOTAL,N1-3,NR,EE	2313852 	2341047 	3398506 	3530087 	4172243 	4139192 	5866192 	4348000 	2746533 	2891746 	3533699 	4087086 
A,PER,DOM,TOTAL,N1-3,NR,EL	5495625 	2923276 	3581761 	3243607 	3060303 	3270170 	3502922 	2934694 	2629941 	2785092 	3712979 	3556493 
A,PER,DOM,TOTAL,N1-3,NR,ES	166220655 	163427930 	160529081 	160771044 b	168452946 	177239149 	177822759 	173791988 	91101502 	133118125 	158056422 	163857088 
A,PER,DOM,TOTAL,N1-3,NR,FI	39189392 	39005051 	36961575 	38055783 	37846876 	39209211 	37093526 	37622277 	28160267 	36923768 	32860465 	28657705 
A,PER,DOM,TOTAL,N1-3,NR,FR	184861260 	181954190 	184491323 	163206588 	160888964 	179119303 	172165371 	175093744 	142393266 	188553241 	209801580 	211075399 
A,PER,DOM,TOTAL,N1-3,NR,HR	5817978 	5731124 	5327797 	3644526 	2600601 	2481744 	2806091 	3310786 	2502134 	3027669 	2869310 	3456316 
A,PER,DOM,TOTAL,N1-3,NR,HU	20305731 	16457775 	17894808 	18573170 	17999573 	18161591 	17566975 	17661110 	10790049 	12198417 	15938878 	15578822 
A,PER,DOM,TOTAL,N1-3,NR,IE	8905635 	8751585 	9487565 	9516756 	9993138 	10362955 	11927113 	12357077 	8082662 	5956488 	14289512 	13483543 
A,PER,DOM,TOTAL,N1-3,NR,IT	42155530 	33327995 	36329218 b	34577378 	44060794 	41064916 	47599534 	41217546 	24683257 	24387016 	35750878 	31510518 
A,PER,DOM,TOTAL,N1-3,NR,LT	3283417 	3121013 	3396253 	3402998 	3161710 	3227905 	3363645 	3495470 	3020990 	4028283 	4730132 	5193499 
A,PER,DOM,TOTAL,N1-3,NR,LU	54737 	66854 	34234 	22350 u	20197 u	38628 	43118 	37315 	171112 	168028 	168710 	217138 
A,PER,DOM,TOTAL,N1-3,NR,LV	4741715 	4229386 	4115911 	3868018 	4111422 	3893632 	3581529 	3339222 	1593357 	3327750 	3841544 	3956023 
A,PER,DOM,TOTAL,N1-3,NR,ME	: 	: 	: 	: 	1089867 	1178233 	: 	: 	: 	: 	: 	: 
A,PER,DOM,TOTAL,N1-3,NR,MK	: 	: 	: 	: 	: 	: 	: 	172619 	304450 	249107 	: 	: 
A,PER,DOM,TOTAL,N1-3,NR,MT	330686 	321574 	339022 b	360284 	507970 	415493 	404375 	381077 	598486 	616320 	598237 	694005 
A,PER,DOM,TOTAL,N1-3,NR,NL	33326859 	29652370 	29020721 	27375257 	27726435 	27596634 	26544692 	26902639 	22453765 	35954806 	25347264 	26247913 
