freq,c_dest,purpose,duration,isced11,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N1-3,ED0-2,NR,AL	: 	: 	: 	: 	: 	932700 	: 	1191489 	628478 	: 	: 	: 
A,DOM,PER,N1-3,ED0-2,NR,AT	948181 	867545 	880398 	944772 	1020398 	899365 	1004985 	985822 	626153 	620083 	874985 	891970 
A,DOM,PER,N1-3,ED0-2,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	413450 	476207 	400986 
A,DOM,PER,N1-3,ED0-2,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	187275 	174512 
A,DOM,PER,N1-3,ED0-2,NR,DK	: 	: 	: 	: 	: 	: 	: 	2471834 	2320482 	1462067 	1450910 	1326225 
A,DOM,PER,N1-3,ED0-2,NR,EE	124268 	131921 	238873 	220161 	371233 	401318 	552519 	457512 	222506 	302262 	390896 	365222 
A,DOM,PER,N1-3,ED0-2,NR,ES	29019778 	27820896 	26499325 	27834753 	29226298 	32120170 	31206459 	30430849 	15130246 	21168944 	23224697 	24387259 
A,DOM,PER,N1-3,ED0-2,NR,FI	5132649 	4810723 	4234604 	4378944 	3777579 	4191024 	3460362 	2894097 	2212624 	3177769 	2726572 	2096478 
A,DOM,PER,N1-3,ED0-2,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	3236438 	4924731 	6223199 	5600598 
A,DOM,PER,N1-3,ED0-2,NR,HR	469186 	275744 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,ED0-2,NR,HU	: 	: 	: 	1401549 	1282197 	1059520 	1048711 	1059501 	487512 	: 	: 	: 
A,DOM,PER,N1-3,ED0-2,NR,LU	10555 u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,DOM,PER,N1-3,ED0-2,NR,LV	331604 	256698 	199612 	242684 	272554 	242243 	204023 	212654 	84752 u	173082 	227256 	200106 
A,DOM,PER,N1-3,ED0-2,NR,MK	: 	: 	: 	: 	: 	: 	: 	17269 	18062 u	20521 u	: 	: 
A,DOM,PER,N1-3,ED0-2,NR,MT	: 	: 	19005 	26905 	18231 	: 	: 	13168 u	9790 u	12885 	20295 	19353 
