freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N1-3,NR,AL	: 	: 	: 	: 	: 	2447366 	: 	2816246 	1856588 	: 	: 	: 
A,DOM,PER,N1-3,NR,AT	5777112 	6314809 	6709183 	6351613 	6882323 	6764655 	7361385 	7909105 	6288046 	6677951 	9499556 	9211332 
A,DOM,PER,N1-3,NR,BE	1489881 	1670786 	1435782 	2235671 	1698476 	2175530 b	2469676 	2782431 	2219809 	3606225 	3316240 	3403263 
A,DOM,PER,N1-3,NR,BG	1941286 b	1877711 	1855864 	1424295 	1596173 	2736847 	2335183 	2204807 	1208155 	1677700 	1967127 	2030006 
A,DOM,PER,N1-3,NR,CH	3905121 	4450442 	3993011 	4058296 	3836856 	3968361 	3733290 	4014110 	4074610 	4555362 	4270869 	: 
A,DOM,PER,N1-3,NR,CY	1074564 b	879804 	962785 	1082593 	1114113 	1167110 	1329479 	1365000 	1444892 	1586491 	1349181 	1251908 
A,DOM,PER,N1-3,NR,CZ	18628902 	17215083 	18528217 	16203332 	17702092 	20061639 	18498367 	18301424 	12774637 	14492600 	17453952 	12840828 
A,DOM,PER,N1-3,NR,DE	84908064 	87350273 	80109555 	89534444 	87104335 	79063521 	82390597 	84381050 	57445754 	70272824 	67283380 	78472262 
A,DOM,PER,N1-3,NR,DK	17342909 	19196406 b	19511192 	19496387 	17400216 	13838114 	6588550 	12339753 	11990566 	8744466 	8456216 	7935700 
A,DOM,PER,N1-3,NR,EA20	371389983 	363045088 	356214038 	360808977 	367176517 	377480080 	385472057 	384614989 	257903925 	334891953 	361903210 	380630032 
A,DOM,PER,N1-3,NR,EE	1353968 	1386473 	2048022 	2147737 	2598912 	2599066 	3684154 	2792391 	1731058 	1784187 	2157881 	2605023 
A,DOM,PER,N1-3,NR,EL	2658927 	1357457 	1596409 	1472529 	1337167 	1446538 	1521486 	1300699 	1162815 	1220626 	1642427 	1477438 
