source,target,relation,relation_id
408,3607,HAS_EXPENDITURE,3
429,108,TO_DESTINATION,0
250,3573,HAS_PURPOSE,1
382,3608,HAS_EXPENDITURE,3
406,3619,HAS_EXPENDITURE,3
349,3620,HAS_EXPENDITURE,3
434,3608,HAS_EXPENDITURE,3
414,3613,HAS_EXPENDITURE,3
341,107,TO_DESTINATION,0
349,3622,HAS_EXPENDITURE,3
391,3620,HAS_EXPENDITURE,3
293,3609,HAS_EXPENDITURE,3
395,3618,HAS_EXPENDITURE,3
388,3618,HAS_EXPENDITURE,3
306,3608,HAS_EXPENDITURE,3
317,3620,HAS_EXPENDITURE,3
217,3620,HAS_EXPENDITURE,3
440,3576,HAS_PURPOSE,1
370,111,TO_DESTINATION,0
409,88,TO_DESTINATION,0
426,3612,HAS_EXPENDITURE,3
439,3622,HAS_EXPENDITURE,3
222,3606,HAS_EXPENDITURE,3
429,3623,HAS_EXPENDITURE,3
295,3573,HAS_PURPOSE,1
283,3619,HAS_EXPENDITURE,3
343,3618,HAS_EXPENDITURE,3
418,3606,HAS_EXPENDITURE,3
439,3621,HAS_EXPENDITURE,3
286,3616,HAS_EXPENDITURE,3
294,3622,HAS_EXPENDITURE,3
439,3606,HAS_EXPENDITURE,3
331,3616,HAS_EXPENDITURE,3
369,3617,HAS_EXPENDITURE,3
396,3622,HAS_EXPENDITURE,3
387,95,TO_DESTINATION,0
221,45,TO_DESTINATION,0
293,3617,HAS_EXPENDITURE,3
281,3609,HAS_EXPENDITURE,3
260,3607,HAS_EXPENDITURE,3
295,3608,HAS_EXPENDITURE,3
317,3607,HAS_EXPENDITURE,3
326,3619,HAS_EXPENDITURE,3
296,3619,HAS_EXPENDITURE,3
269,93,TO_DESTINATION,0
289,3621,HAS_EXPENDITURE,3
349,3612,HAS_EXPENDITURE,3
220,3607,HAS_EXPENDITURE,3
329,3619,HAS_EXPENDITURE,3
429,3615,HAS_EXPENDITURE,3
304,3581,IN_YEAR,2
280,3622,HAS_EXPENDITURE,3
342,3614,HAS_EXPENDITURE,3
328,3617,HAS_EXPENDITURE,3
348,3618,HAS_EXPENDITURE,3
350,3609,HAS_EXPENDITURE,3
435,3617,HAS_EXPENDITURE,3
351,3623,HAS_EXPENDITURE,3
285,3607,HAS_EXPENDITURE,3
214,3615,HAS_EXPENDITURE,3
256,3609,HAS_EXPENDITURE,3
268,3620,HAS_EXPENDITURE,3
302,3607,HAS_EXPENDITURE,3
265,118,TO_DESTINATION,0
227,3612,HAS_EXPENDITURE,3
439,3607,HAS_EXPENDITURE,3
313,108,TO_DESTINATION,0
356,3609,HAS_EXPENDITURE,3
235,3623,HAS_EXPENDITURE,3
222,3620,HAS_EXPENDITURE,3
336,3609,HAS_EXPENDITURE,3
367,3622,HAS_EXPENDITURE,3
389,3623,HAS_EXPENDITURE,3
227,3608,HAS_EXPENDITURE,3
388,3606,HAS_EXPENDITURE,3
314,3613,HAS_EXPENDITURE,3
262,57,TO_DESTINATION,0
252,3573,HAS_PURPOSE,1
392,71,TO_DESTINATION,0
316,3617,HAS_EXPENDITURE,3
223,105,TO_DESTINATION,0
397,3621,HAS_EXPENDITURE,3
244,3609,HAS_EXPENDITURE,3
239,63,TO_DESTINATION,0
364,3621,HAS_EXPENDITURE,3
413,3622,HAS_EXPENDITURE,3
244,3610,HAS_EXPENDITURE,3
221,3618,HAS_EXPENDITURE,3
410,3616,HAS_EXPENDITURE,3
327,3619,HAS_EXPENDITURE,3
319,3619,HAS_EXPENDITURE,3
410,3610,HAS_EXPENDITURE,3
226,3573,HAS_PURPOSE,1
382,3620,HAS_EXPENDITURE,3
432,3620,HAS_EXPENDITURE,3
233,115,TO_DESTINATION,0
226,3615,HAS_EXPENDITURE,3
260,3610,HAS_EXPENDITURE,3
237,3617,HAS_EXPENDITURE,3
380,3606,HAS_EXPENDITURE,3
222,104,TO_DESTINATION,0
313,3609,HAS_EXPENDITURE,3
394,73,TO_DESTINATION,0
298,3616,HAS_EXPENDITURE,3
225,3619,HAS_EXPENDITURE,3
292,3617,HAS_EXPENDITURE,3
401,3610,HAS_EXPENDITURE,3
312,3615,HAS_EXPENDITURE,3
394,3621,HAS_EXPENDITURE,3
218,3609,HAS_EXPENDITURE,3
322,3618,HAS_EXPENDITURE,3
223,3612,HAS_EXPENDITURE,3
241,3620,HAS_EXPENDITURE,3
267,3609,HAS_EXPENDITURE,3
368,3623,HAS_EXPENDITURE,3
324,3611,HAS_EXPENDITURE,3
249,3617,HAS_EXPENDITURE,3
410,3612,HAS_EXPENDITURE,3
234,3609,HAS_EXPENDITURE,3
416,3576,HAS_PURPOSE,1
238,3610,HAS_EXPENDITURE,3
357,117,TO_DESTINATION,0
279,3620,HAS_EXPENDITURE,3
222,3613,HAS_EXPENDITURE,3
332,3608,HAS_EXPENDITURE,3
231,3619,HAS_EXPENDITURE,3
396,3606,HAS_EXPENDITURE,3
406,3615,HAS_EXPENDITURE,3
432,3621,HAS_EXPENDITURE,3
309,3619,HAS_EXPENDITURE,3
346,3618,HAS_EXPENDITURE,3
419,40,TO_DESTINATION,0
242,3623,HAS_EXPENDITURE,3
245,3618,HAS_EXPENDITURE,3
281,3610,HAS_EXPENDITURE,3
416,3619,HAS_EXPENDITURE,3
354,122,TO_DESTINATION,0
323,3606,HAS_EXPENDITURE,3
294,3612,HAS_EXPENDITURE,3
227,3617,HAS_EXPENDITURE,3
386,3617,HAS_EXPENDITURE,3
439,3615,HAS_EXPENDITURE,3
