head,relation,tail
Y15-24,TOOK_TRIP,213
Y15-24,TOOK_TRIP,213
Y15-24,TOOK_TRIP,213
Y15-24,TOOK_TRIP,214
Y15-24,TOOK_TRIP,214
Y15-24,TOOK_TRIP,214
Y15-24,TOOK_TRIP,215
Y15-24,TOOK_TRIP,215
Y15-24,TOOK_TRIP,216
Y15-24,TOOK_TRIP,216
Y15-24,TOOK_TRIP,217
Y15-24,TOOK_TRIP,217
Y15-24,TOOK_TRIP,217
Y15-24,TOOK_TRIP,218
Y15-24,TOOK_TRIP,218
Y15-24,TOOK_TRIP,218
Y15-24,TOOK_TRIP,219
Y15-24,TOOK_TRIP,219
Y15-24,TOOK_TRIP,219
Y15-24,TOOK_TRIP,220
Y15-24,TOOK_TRIP,220
Y15-24,TOOK_TRIP,220
Y15-24,TOOK_TRIP,221
Y15-24,TOOK_TRIP,221
Y15-24,TOOK_TRIP,221
Y15-24,TOOK_TRIP,222
Y15-24,TOOK_TRIP,222
Y15-24,TOOK_TRIP,222
Y15-24,TOOK_TRIP,223
Y15-24,TOOK_TRIP,223
Y15-24,TOOK_TRIP,224
Y15-24,TOOK_TRIP,224
Y15-24,TOOK_TRIP,224
Y15-24,TOOK_TRIP,225
Y15-24,TOOK_TRIP,225
Y15-24,TOOK_TRIP,225
Y15-24,TOOK_TRIP,226
Y15-24,TOOK_TRIP,226
Y15-24,TOOK_TRIP,226
Y15-24,TOOK_TRIP,227
Y15-24,TOOK_TRIP,227
Y15-24,TOOK_TRIP,227
Y15-24,TOOK_TRIP,228
Y15-24,TOOK_TRIP,228
Y15-24,TOOK_TRIP,228
Y15-24,TOOK_TRIP,229
Y15-24,TOOK_TRIP,229
Y15-24,TOOK_TRIP,229
Y15-24,TOOK_TRIP,230
Y15-24,TOOK_TRIP,230
Y15-24,TOOK_TRIP,230
Y15-24,TOOK_TRIP,231
Y15-24,TOOK_TRIP,231
Y15-24,TOOK_TRIP,231
Y15-24,TOOK_TRIP,232
Y15-24,TOOK_TRIP,232
Y15-24,TOOK_TRIP,232
Y15-24,TOOK_TRIP,233
Y15-24,TOOK_TRIP,233
Y15-24,TOOK_TRIP,233
Y15-24,TOOK_TRIP,234
Y15-24,TOOK_TRIP,234
Y15-24,TOOK_TRIP,234
Y15-24,TOOK_TRIP,235
Y15-24,TOOK_TRIP,235
Y15-24,TOOK_TRIP,235
Y15-24,TOOK_TRIP,236
Y15-24,TOOK_TRIP,236
Y15-24,TOOK_TRIP,236
Y15-24,TOOK_TRIP,237
Y15-24,TOOK_TRIP,237
Y15-24,TOOK_TRIP,237
Y15-24,TOOK_TRIP,238
Y15-24,TOOK_TRIP,238
Y15-24,TOOK_TRIP,238
Y15-24,TOOK_TRIP,239
Y15-24,TOOK_TRIP,239
Y15-24,TOOK_TRIP,240
Y15-24,TOOK_TRIP,240
Y15-24,TOOK_TRIP,240
Y15-24,TOOK_TRIP,241
Y15-24,TOOK_TRIP,241
Y15-24,TOOK_TRIP,241
Y15-24,TOOK_TRIP,242
Y15-24,TOOK_TRIP,242
Y15-24,TOOK_TRIP,242
Y15-24,TOOK_TRIP,243
Y15-24,TOOK_TRIP,243
Y15-24,TOOK_TRIP,243
Y15-24,TOOK_TRIP,244
Y15-24,TOOK_TRIP,244
Y15-24,TOOK_TRIP,244
Y15-24,TOOK_TRIP,245
Y15-24,TOOK_TRIP,245
Y15-24,TOOK_TRIP,245
Y15-24,TOOK_TRIP,246
Y15-24,TOOK_TRIP,246
Y15-24,TOOK_TRIP,246
Y15-24,TOOK_TRIP,247
Y15-24,TOOK_TRIP,247
Y15-24,TOOK_TRIP,247
Y15-24,TOOK_TRIP,248
Y15-24,TOOK_TRIP,248
Y15-24,TOOK_TRIP,248
Y15-24,TOOK_TRIP,249
Y15-24,TOOK_TRIP,249
Y15-24,TOOK_TRIP,249
Y15-24,TOOK_TRIP,250
Y15-24,TOOK_TRIP,250
Y15-24,TOOK_TRIP,250
Y15-24,TOOK_TRIP,251
Y15-24,TOOK_TRIP,251
Y15-24,TOOK_TRIP,251
Y15-24,TOOK_TRIP,252
Y15-24,TOOK_TRIP,252
Y15-24,TOOK_TRIP,252
Y15-24,TOOK_TRIP,253
Y15-24,TOOK_TRIP,253
Y15-24,TOOK_TRIP,253
Y15-24,TOOK_TRIP,254
Y15-24,TOOK_TRIP,254
Y15-24,TOOK_TRIP,254
Y15-24,TOOK_TRIP,255
Y15-24,TOOK_TRIP,255
Y15-24,TOOK_TRIP,255
Y15-24,TOOK_TRIP,256
