head,relation,tail
F,TOOK_TRIP,213
F,TOOK_TRIP,213
F,TOOK_TRIP,213
F,TOOK_TRIP,214
F,TOOK_TRIP,214
F,TOOK_TRIP,214
F,TOOK_TRIP,215
F,TOOK_TRIP,215
F,TOOK_TRIP,215
F,TOOK_TRIP,216
F,TOOK_TRIP,216
F,TOOK_TRIP,216
F,TOOK_TRIP,217
F,TOOK_TRIP,217
F,TOOK_TRIP,217
F,TOOK_TRIP,218
F,TOOK_TRIP,218
F,TOOK_TRIP,218
F,TOOK_TRIP,219
F,TOOK_TRIP,219
F,TOOK_TRIP,219
F,TOOK_TRIP,220
F,TOOK_TRIP,220
F,TOOK_TRIP,220
F,TOOK_TRIP,221
F,TOOK_TRIP,221
F,TOOK_TRIP,221
F,TOOK_TRIP,222
F,TOOK_TRIP,222
F,TOOK_TRIP,222
F,TOOK_TRIP,223
F,TOOK_TRIP,223
F,TOOK_TRIP,223
F,TOOK_TRIP,224
F,TOOK_TRIP,224
F,TOOK_TRIP,224
F,TOOK_TRIP,225
F,TOOK_TRIP,225
F,TOOK_TRIP,225
F,TOOK_TRIP,226
F,TOOK_TRIP,226
F,TOOK_TRIP,226
F,TOOK_TRIP,227
F,TOOK_TRIP,227
F,TOOK_TRIP,227
F,TOOK_TRIP,228
F,TOOK_TRIP,228
F,TOOK_TRIP,228
F,TOOK_TRIP,229
F,TOOK_TRIP,229
F,TOOK_TRIP,229
F,TOOK_TRIP,230
F,TOOK_TRIP,230
F,TOOK_TRIP,230
F,TOOK_TRIP,231
F,TOOK_TRIP,231
F,TOOK_TRIP,231
F,TOOK_TRIP,232
F,TOOK_TRIP,232
F,TOOK_TRIP,232
F,TOOK_TRIP,233
F,TOOK_TRIP,233
F,TOOK_TRIP,233
F,TOOK_TRIP,234
F,TOOK_TRIP,234
F,TOOK_TRIP,234
F,TOOK_TRIP,235
F,TOOK_TRIP,235
F,TOOK_TRIP,235
F,TOOK_TRIP,236
F,TOOK_TRIP,236
F,TOOK_TRIP,236
F,TOOK_TRIP,237
F,TOOK_TRIP,237
F,TOOK_TRIP,237
F,TOOK_TRIP,238
F,TOOK_TRIP,238
F,TOOK_TRIP,238
F,TOOK_TRIP,239
F,TOOK_TRIP,239
F,TOOK_TRIP,239
F,TOOK_TRIP,240
F,TOOK_TRIP,240
F,TOOK_TRIP,240
F,TOOK_TRIP,241
F,TOOK_TRIP,241
F,TOOK_TRIP,241
F,TOOK_TRIP,242
F,TOOK_TRIP,242
F,TOOK_TRIP,242
F,TOOK_TRIP,243
F,TOOK_TRIP,243
F,TOOK_TRIP,243
F,TOOK_TRIP,244
F,TOOK_TRIP,244
F,TOOK_TRIP,244
F,TOOK_TRIP,245
F,TOOK_TRIP,245
F,TOOK_TRIP,245
F,TOOK_TRIP,246
F,TOOK_TRIP,246
F,TOOK_TRIP,246
F,TOOK_TRIP,247
F,TOOK_TRIP,247
F,TOOK_TRIP,247
F,TOOK_TRIP,248
F,TOOK_TRIP,248
F,TOOK_TRIP,248
F,TOOK_TRIP,249
F,TOOK_TRIP,249
F,TOOK_TRIP,249
F,TOOK_TRIP,250
F,TOOK_TRIP,250
F,TOOK_TRIP,250
F,TOOK_TRIP,251
F,TOOK_TRIP,251
F,TOOK_TRIP,251
F,TOOK_TRIP,252
F,TOOK_TRIP,252
F,TOOK_TRIP,252
F,TOOK_TRIP,253
F,TOOK_TRIP,253
F,TOOK_TRIP,253
F,TOOK_TRIP,254
F,TOOK_TRIP,254
F,TOOK_TRIP,254
F,TOOK_TRIP,255
F,TOOK_TRIP,255
F,TOOK_TRIP,255
F,TOOK_TRIP,256
F,TOOK_TRIP,256
F,TOOK_TRIP,256
F,TOOK_TRIP,257
F,TOOK_TRIP,257
F,TOOK_TRIP,257
F,TOOK_TRIP,258
F,TOOK_TRIP,258
F,TOOK_TRIP,258
F,TOOK_TRIP,259
F,TOOK_TRIP,259
F,TOOK_TRIP,259
F,TOOK_TRIP,260
F,TOOK_TRIP,260
F,TOOK_TRIP,260
F,TOOK_TRIP,261
F,TOOK_TRIP,261
F,TOOK_TRIP,261
F,TOOK_TRIP,262
F,TOOK_TRIP,262
F,TOOK_TRIP,262
F,TOOK_TRIP,263
F,TOOK_TRIP,263
F,TOOK_TRIP,263
F,TOOK_TRIP,264
F,TOOK_TRIP,264
F,TOOK_TRIP,264
F,TOOK_TRIP,265
F,TOOK_TRIP,265
F,TOOK_TRIP,265
F,TOOK_TRIP,266
F,TOOK_TRIP,266
F,TOOK_TRIP,266
F,TOOK_TRIP,267
F,TOOK_TRIP,267
F,TOOK_TRIP,267
F,TOOK_TRIP,268
F,TOOK_TRIP,268
F,TOOK_TRIP,268
F,TOOK_TRIP,269
F,TOOK_TRIP,269
F,TOOK_TRIP,269
F,TOOK_TRIP,270
F,TOOK_TRIP,270
F,TOOK_TRIP,270
F,TOOK_TRIP,271
F,TOOK_TRIP,271
F,TOOK_TRIP,271
F,TOOK_TRIP,272
F,TOOK_TRIP,272
F,TOOK_TRIP,272
F,TOOK_TRIP,273
F,TOOK_TRIP,273
F,TOOK_TRIP,273
F,TOOK_TRIP,274
F,TOOK_TRIP,274
F,TOOK_TRIP,274
F,TOOK_TRIP,275
F,TOOK_TRIP,275
F,TOOK_TRIP,275
F,TOOK_TRIP,276
F,TOOK_TRIP,276
F,TOOK_TRIP,276
F,TOOK_TRIP,277
F,TOOK_TRIP,277
F,TOOK_TRIP,277
F,TOOK_TRIP,278
F,TOOK_TRIP,278
F,TOOK_TRIP,278
F,TOOK_TRIP,279
F,TOOK_TRIP,279
F,TOOK_TRIP,279
F,TOOK_TRIP,280
F,TOOK_TRIP,280
F,TOOK_TRIP,280
F,TOOK_TRIP,281
F,TOOK_TRIP,281
F,TOOK_TRIP,281
F,TOOK_TRIP,282
F,TOOK_TRIP,282
F,TOOK_TRIP,282
F,TOOK_TRIP,283
F,TOOK_TRIP,283
F,TOOK_TRIP,283
F,TOOK_TRIP,284
F,TOOK_TRIP,284
F,TOOK_TRIP,284
F,TOOK_TRIP,285
F,TOOK_TRIP,285
F,TOOK_TRIP,285
F,TOOK_TRIP,286
F,TOOK_TRIP,286
F,TOOK_TRIP,286
F,TOOK_TRIP,287
F,TOOK_TRIP,287
F,TOOK_TRIP,287
F,TOOK_TRIP,288
F,TOOK_TRIP,288
F,TOOK_TRIP,288
F,TOOK_TRIP,289
F,TOOK_TRIP,289
F,TOOK_TRIP,289
F,TOOK_TRIP,290
F,TOOK_TRIP,290
F,TOOK_TRIP,290
F,TOOK_TRIP,291
F,TOOK_TRIP,291
F,TOOK_TRIP,291
