head,relation,tail
213,HAS_EXPENDITURE,ACCOM
214,HAS_EXPENDITURE,ACCOM
215,HAS_EXPENDITURE,ACCOM
216,HAS_EXPENDITURE,ACCOM
217,HAS_EXPENDITURE,ACCOM
218,HAS_EXPENDITURE,ACCOM
219,HAS_EXPENDITURE,ACCOM
220,HAS_EXPENDITURE,ACCOM
221,HAS_EXPENDITURE,ACCOM
222,HAS_EXPENDITURE,ACCOM
223,HAS_EXPENDITURE,ACCOM
224,HAS_EXPENDITURE,ACCOM
225,HAS_EXPENDITURE,ACCOM
226,HAS_EXPENDITURE,ACCOM
227,HAS_EXPENDITURE,ACCOM
228,HAS_EXPENDITURE,ACCOM
229,HAS_EXPENDITURE,ACCOM
230,HAS_EXPENDITURE,ACCOM
231,HAS_EXPENDITURE,ACCOM
232,HAS_EXPENDITURE,ACCOM
233,HAS_EXPENDITURE,ACCOM
234,HAS_EXPENDITURE,ACCOM
235,HAS_EXPENDITURE,ACCOM
236,HAS_EXPENDITURE,ACCOM
237,HAS_EXPENDITURE,ACCOM
238,HAS_EXPENDITURE,ACCOM
239,HAS_EXPENDITURE,ACCOM
240,HAS_EXPENDITURE,ACCOM
241,HAS_EXPENDITURE,ACCOM
242,HAS_EXPENDITURE,ACCOM
243,HAS_EXPENDITURE,ACCOM
244,HAS_EXPENDITURE,ACCOM
245,HAS_EXPENDITURE,ACCOM
246,HAS_EXPENDITURE,ACCOM
247,HAS_EXPENDITURE,ACCOM
248,HAS_EXPENDITURE,ACCOM
249,HAS_EXPENDITURE,ACCOM
250,HAS_EXPENDITURE,ACCOM
251,HAS_EXPENDITURE,ACCOM
252,HAS_EXPENDITURE,ACCOM
253,HAS_EXPENDITURE,ACCOM
254,HAS_EXPENDITURE,ACCOM
255,HAS_EXPENDITURE,ACCOM
256,HAS_EXPENDITURE,ACCOM
257,HAS_EXPENDITURE,ACCOM
258,HAS_EXPENDITURE,ACCOM
259,HAS_EXPENDITURE,ACCOM
260,HAS_EXPENDITURE,ACCOM
261,HAS_EXPENDITURE,ACCOM
262,HAS_EXPENDITURE,ACCOM
263,HAS_EXPENDITURE,ACCOM
264,HAS_EXPENDITURE,ACCOM
265,HAS_EXPENDITURE,ACCOM
266,HAS_EXPENDITURE,ACCOM
267,HAS_EXPENDITURE,ACCOM
268,HAS_EXPENDITURE,ACCOM
269,HAS_EXPENDITURE,ACCOM
270,HAS_EXPENDITURE,ACCOM
271,HAS_EXPENDITURE,ACCOM
272,HAS_EXPENDITURE,ACCOM
273,HAS_EXPENDITURE,ACCOM
274,HAS_EXPENDITURE,ACCOM
275,HAS_EXPENDITURE,ACCOM
276,HAS_EXPENDITURE,ACCOM
277,HAS_EXPENDITURE,ACCOM
278,HAS_EXPENDITURE,ACCOM
279,HAS_EXPENDITURE,ACCOM
280,HAS_EXPENDITURE,ACCOM
281,HAS_EXPENDITURE,ACCOM
282,HAS_EXPENDITURE,ACCOM
283,HAS_EXPENDITURE,ACCOM
284,HAS_EXPENDITURE,ACCOM
285,HAS_EXPENDITURE,ACCOM
286,HAS_EXPENDITURE,ACCOM
287,HAS_EXPENDITURE,ACCOM
288,HAS_EXPENDITURE,ACCOM
289,HAS_EXPENDITURE,ACCOM
290,HAS_EXPENDITURE,ACCOM
291,HAS_EXPENDITURE,ACCOM
292,HAS_EXPENDITURE,ACCOM
293,HAS_EXPENDITURE,ACCOM
294,HAS_EXPENDITURE,ACCOM
295,HAS_EXPENDITURE,ACCOM
296,HAS_EXPENDITURE,ACCOM
297,HAS_EXPENDITURE,ACCOM
298,HAS_EXPENDITURE,ACCOM
299,HAS_EXPENDITURE,ACCOM
300,HAS_EXPENDITURE,ACCOM
301,HAS_EXPENDITURE,ACCOM
