head,relation,tail
213,HAS_PURPOSE,Personal
214,HAS_PURPOSE,Personal
215,HAS_PURPOSE,Personal
216,HAS_PURPOSE,Personal
217,HAS_PURPOSE,Personal
218,HAS_PURPOSE,Personal
219,HAS_PURPOSE,Personal
220,HAS_PURPOSE,Personal
221,HAS_PURPOSE,Personal
222,HAS_PURPOSE,Personal
223,HAS_PURPOSE,Personal
224,HAS_PURPOSE,Personal
225,HAS_PURPOSE,Personal
226,HAS_PURPOSE,Personal
227,HAS_PURPOSE,Personal
228,HAS_PURPOSE,Personal
229,HAS_PURPOSE,Personal
230,HAS_PURPOSE,Personal
231,HAS_PURPOSE,Personal
232,HAS_PURPOSE,Personal
233,HAS_PURPOSE,Personal
234,HAS_PURPOSE,Personal
235,HAS_PURPOSE,Personal
236,HAS_PURPOSE,Personal
237,HAS_PURPOSE,Personal
238,HAS_PURPOSE,Personal
239,HAS_PURPOSE,Personal
240,HAS_PURPOSE,Personal
241,HAS_PURPOSE,Personal
242,HAS_PURPOSE,Personal
243,HAS_PURPOSE,Personal
244,HAS_PURPOSE,Personal
245,HAS_PURPOSE,Personal
246,HAS_PURPOSE,Personal
247,HAS_PURPOSE,Personal
248,HAS_PURPOSE,Personal
249,HAS_PURPOSE,Personal
250,HAS_PURPOSE,Personal
251,HAS_PURPOSE,Personal
252,HAS_PURPOSE,Personal
253,HAS_PURPOSE,Personal
254,HAS_PURPOSE,Personal
255,HAS_PURPOSE,Personal
256,HAS_PURPOSE,Personal
257,HAS_PURPOSE,Personal
258,HAS_PURPOSE,Personal
259,HAS_PURPOSE,Personal
260,HAS_PURPOSE,Personal
261,HAS_PURPOSE,Personal
262,HAS_PURPOSE,Personal
263,HAS_PURPOSE,Personal
264,HAS_PURPOSE,Personal
265,HAS_PURPOSE,Personal
266,HAS_PURPOSE,Personal
267,HAS_PURPOSE,Personal
268,HAS_PURPOSE,Personal
269,HAS_PURPOSE,Personal
270,HAS_PURPOSE,Personal
271,HAS_PURPOSE,Personal
272,HAS_PURPOSE,Personal
273,HAS_PURPOSE,Personal
274,HAS_PURPOSE,Personal
275,HAS_PURPOSE,Personal
276,HAS_PURPOSE,Personal
277,HAS_PURPOSE,Personal
278,HAS_PURPOSE,Personal
279,HAS_PURPOSE,Personal
280,HAS_PURPOSE,Personal
281,HAS_PURPOSE,Personal
282,HAS_PURPOSE,Personal
283,HAS_PURPOSE,Personal
284,HAS_PURPOSE,Personal
285,HAS_PURPOSE,Personal
286,HAS_PURPOSE,Personal
287,HAS_PURPOSE,Personal
288,HAS_PURPOSE,Personal
289,HAS_PURPOSE,Personal
290,HAS_PURPOSE,Personal
291,HAS_PURPOSE,Personal
292,HAS_PURPOSE,Personal
293,HAS_PURPOSE,Personal
294,HAS_PURPOSE,Personal
295,HAS_PURPOSE,Personal
296,HAS_PURPOSE,Personal
297,HAS_PURPOSE,Personal
298,HAS_PURPOSE,Personal
299,HAS_PURPOSE,Personal
474,HAS_PURPOSE,Personal
475,HAS_PURPOSE,Personal
476,HAS_PURPOSE,Personal
477,HAS_PURPOSE,Personal
478,HAS_PURPOSE,Personal
479,HAS_PURPOSE,Personal
480,HAS_PURPOSE,Personal
481,HAS_PURPOSE,Personal
482,HAS_PURPOSE,Personal
483,HAS_PURPOSE,Personal
484,HAS_PURPOSE,Personal
485,HAS_PURPOSE,Personal
486,HAS_PURPOSE,Personal
487,HAS_PURPOSE,Personal
488,HAS_PURPOSE,Personal
489,HAS_PURPOSE,Personal
490,HAS_PURPOSE,Personal
491,HAS_PURPOSE,Personal
492,HAS_PURPOSE,Personal
493,HAS_PURPOSE,Personal
494,HAS_PURPOSE,Personal
495,HAS_PURPOSE,Personal
496,HAS_PURPOSE,Personal
497,HAS_PURPOSE,Personal
498,HAS_PURPOSE,Personal
499,HAS_PURPOSE,Personal
500,HAS_PURPOSE,Personal
501,HAS_PURPOSE,Personal
502,HAS_PURPOSE,Personal
503,HAS_PURPOSE,Personal
504,HAS_PURPOSE,Personal
505,HAS_PURPOSE,Personal
506,HAS_PURPOSE,Personal
507,HAS_PURPOSE,Personal
508,HAS_PURPOSE,Personal
509,HAS_PURPOSE,Personal
510,HAS_PURPOSE,Personal
511,HAS_PURPOSE,Personal
512,HAS_PURPOSE,Personal
513,HAS_PURPOSE,Personal
514,HAS_PURPOSE,Personal
515,HAS_PURPOSE,Personal
516,HAS_PURPOSE,Personal
517,HAS_PURPOSE,Personal
518,HAS_PURPOSE,Personal
519,HAS_PURPOSE,Personal
520,HAS_PURPOSE,Personal
521,HAS_PURPOSE,Personal
522,HAS_PURPOSE,Personal
523,HAS_PURPOSE,Personal
524,HAS_PURPOSE,Personal
525,HAS_PURPOSE,Personal
526,HAS_PURPOSE,Personal
527,HAS_PURPOSE,Personal
528,HAS_PURPOSE,Personal
529,HAS_PURPOSE,Personal
530,HAS_PURPOSE,Personal
531,HAS_PURPOSE,Personal
532,HAS_PURPOSE,Personal
533,HAS_PURPOSE,Personal
534,HAS_PURPOSE,Personal
535,HAS_PURPOSE,Personal
536,HAS_PURPOSE,Personal
537,HAS_PURPOSE,Personal
538,HAS_PURPOSE,Personal
539,HAS_PURPOSE,Personal
540,HAS_PURPOSE,Personal
541,HAS_PURPOSE,Personal
542,HAS_PURPOSE,Personal
543,HAS_PURPOSE,Personal
544,HAS_PURPOSE,Personal
545,HAS_PURPOSE,Personal
546,HAS_PURPOSE,Personal
547,HAS_PURPOSE,Personal
548,HAS_PURPOSE,Personal
549,HAS_PURPOSE,Personal
550,HAS_PURPOSE,Personal
551,HAS_PURPOSE,Personal
552,HAS_PURPOSE,Personal
553,HAS_PURPOSE,Personal
554,HAS_PURPOSE,Personal
555,HAS_PURPOSE,Personal
556,HAS_PURPOSE,Personal
557,HAS_PURPOSE,Personal
558,HAS_PURPOSE,Personal
559,HAS_PURPOSE,Personal
560,HAS_PURPOSE,Personal
561,HAS_PURPOSE,Personal
562,HAS_PURPOSE,Personal
563,HAS_PURPOSE,Personal
564,HAS_PURPOSE,Personal
565,HAS_PURPOSE,Personal
566,HAS_PURPOSE,Personal
753,HAS_PURPOSE,Personal
754,HAS_PURPOSE,Personal
755,HAS_PURPOSE,Personal
756,HAS_PURPOSE,Personal
757,HAS_PURPOSE,Personal
758,HAS_PURPOSE,Personal
759,HAS_PURPOSE,Personal
760,HAS_PURPOSE,Personal
761,HAS_PURPOSE,Personal
762,HAS_PURPOSE,Personal
763,HAS_PURPOSE,Personal
764,HAS_PURPOSE,Personal
765,HAS_PURPOSE,Personal
766,HAS_PURPOSE,Personal
767,HAS_PURPOSE,Personal
768,HAS_PURPOSE,Personal
769,HAS_PURPOSE,Personal
770,HAS_PURPOSE,Personal
771,HAS_PURPOSE,Personal
772,HAS_PURPOSE,Personal
773,HAS_PURPOSE,Personal
774,HAS_PURPOSE,Personal
775,HAS_PURPOSE,Personal
776,HAS_PURPOSE,Personal
777,HAS_PURPOSE,Personal
778,HAS_PURPOSE,Personal
779,HAS_PURPOSE,Personal
780,HAS_PURPOSE,Personal
781,HAS_PURPOSE,Personal
782,HAS_PURPOSE,Personal
783,HAS_PURPOSE,Personal
784,HAS_PURPOSE,Personal
785,HAS_PURPOSE,Personal
786,HAS_PURPOSE,Personal
787,HAS_PURPOSE,Personal
788,HAS_PURPOSE,Personal
789,HAS_PURPOSE,Personal
790,HAS_PURPOSE,Personal
791,HAS_PURPOSE,Personal
792,HAS_PURPOSE,Personal
793,HAS_PURPOSE,Personal
794,HAS_PURPOSE,Personal
795,HAS_PURPOSE,Personal
796,HAS_PURPOSE,Personal
797,HAS_PURPOSE,Personal
798,HAS_PURPOSE,Personal
799,HAS_PURPOSE,Personal
800,HAS_PURPOSE,Personal
801,HAS_PURPOSE,Personal
802,HAS_PURPOSE,Personal
803,HAS_PURPOSE,Personal
804,HAS_PURPOSE,Personal
805,HAS_PURPOSE,Personal
806,HAS_PURPOSE,Personal
807,HAS_PURPOSE,Personal
808,HAS_PURPOSE,Personal
809,HAS_PURPOSE,Personal
810,HAS_PURPOSE,Personal
811,HAS_PURPOSE,Personal
812,HAS_PURPOSE,Personal
813,HAS_PURPOSE,Personal
814,HAS_PURPOSE,Personal
815,HAS_PURPOSE,Personal
816,HAS_PURPOSE,Personal
817,HAS_PURPOSE,Personal
818,HAS_PURPOSE,Personal
819,HAS_PURPOSE,Personal
820,HAS_PURPOSE,Personal
821,HAS_PURPOSE,Personal
822,HAS_PURPOSE,Personal
823,HAS_PURPOSE,Personal
824,HAS_PURPOSE,Personal
825,HAS_PURPOSE,Personal
826,HAS_PURPOSE,Personal
827,HAS_PURPOSE,Personal
828,HAS_PURPOSE,Personal
829,HAS_PURPOSE,Personal
830,HAS_PURPOSE,Personal
831,HAS_PURPOSE,Personal
832,HAS_PURPOSE,Personal
833,HAS_PURPOSE,Personal
834,HAS_PURPOSE,Personal
835,HAS_PURPOSE,Personal
836,HAS_PURPOSE,Personal
837,HAS_PURPOSE,Personal
838,HAS_PURPOSE,Personal
839,HAS_PURPOSE,Personal
840,HAS_PURPOSE,Personal
841,HAS_PURPOSE,Personal
842,HAS_PURPOSE,Personal
843,HAS_PURPOSE,Personal
844,HAS_PURPOSE,Personal
845,HAS_PURPOSE,Personal
1031,HAS_PURPOSE,Personal
1032,HAS_PURPOSE,Personal
1033,HAS_PURPOSE,Personal
1034,HAS_PURPOSE,Personal
1035,HAS_PURPOSE,Personal
1036,HAS_PURPOSE,Personal
1037,HAS_PURPOSE,Personal
1038,HAS_PURPOSE,Personal
1039,HAS_PURPOSE,Personal
1040,HAS_PURPOSE,Personal
1041,HAS_PURPOSE,Personal
1042,HAS_PURPOSE,Personal
1043,HAS_PURPOSE,Personal
1044,HAS_PURPOSE,Personal
1045,HAS_PURPOSE,Personal
1046,HAS_PURPOSE,Personal
