head,relation,tail
213,IN_YEAR,2012
214,IN_YEAR,2012
215,IN_YEAR,2012
216,IN_YEAR,2012
217,IN_YEAR,2012
218,IN_YEAR,2012
219,IN_YEAR,2012
220,IN_YEAR,2012
221,IN_YEAR,2012
222,IN_YEAR,2012
223,IN_YEAR,2012
224,IN_YEAR,2012
225,IN_YEAR,2012
226,IN_YEAR,2012
227,IN_YEAR,2012
228,IN_YEAR,2012
229,IN_YEAR,2012
230,IN_YEAR,2012
231,IN_YEAR,2012
232,IN_YEAR,2012
233,IN_YEAR,2012
234,IN_YEAR,2012
235,IN_YEAR,2012
236,IN_YEAR,2012
237,IN_YEAR,2012
238,IN_YEAR,2012
239,IN_YEAR,2012
240,IN_YEAR,2012
241,IN_YEAR,2012
242,IN_YEAR,2012
243,IN_YEAR,2012
244,IN_YEAR,2012
245,IN_YEAR,2012
246,IN_YEAR,2012
247,IN_YEAR,2012
248,IN_YEAR,2012
249,IN_YEAR,2012
250,IN_YEAR,2012
251,IN_YEAR,2012
252,IN_YEAR,2012
253,IN_YEAR,2012
254,IN_YEAR,2012
255,IN_YEAR,2012
256,IN_YEAR,2012
257,IN_YEAR,2012
258,IN_YEAR,2012
259,IN_YEAR,2012
260,IN_YEAR,2012
261,IN_YEAR,2012
262,IN_YEAR,2012
263,IN_YEAR,2012
264,IN_YEAR,2012
265,IN_YEAR,2012
266,IN_YEAR,2012
267,IN_YEAR,2012
268,IN_YEAR,2012
269,IN_YEAR,2012
270,IN_YEAR,2012
271,IN_YEAR,2012
272,IN_YEAR,2012
273,IN_YEAR,2012
274,IN_YEAR,2012
275,IN_YEAR,2012
276,IN_YEAR,2012
277,IN_YEAR,2012
278,IN_YEAR,2012
279,IN_YEAR,2012
280,IN_YEAR,2012
281,IN_YEAR,2012
282,IN_YEAR,2012
283,IN_YEAR,2012
284,IN_YEAR,2012
285,IN_YEAR,2012
286,IN_YEAR,2012
287,IN_YEAR,2012
288,IN_YEAR,2012
289,IN_YEAR,2012
290,IN_YEAR,2012
291,IN_YEAR,2012
292,IN_YEAR,2012
293,IN_YEAR,2012
294,IN_YEAR,2012
295,IN_YEAR,2012
296,IN_YEAR,2012
297,IN_YEAR,2012
298,IN_YEAR,2012
299,IN_YEAR,2012
300,IN_YEAR,2012
301,IN_YEAR,2012
302,IN_YEAR,2012
303,IN_YEAR,2012
304,IN_YEAR,2012
305,IN_YEAR,2012
306,IN_YEAR,2012
307,IN_YEAR,2012
308,IN_YEAR,2012
309,IN_YEAR,2012
310,IN_YEAR,2012
311,IN_YEAR,2012
312,IN_YEAR,2012
313,IN_YEAR,2012
314,IN_YEAR,2012
315,IN_YEAR,2012
316,IN_YEAR,2012
317,IN_YEAR,2012
318,IN_YEAR,2012
319,IN_YEAR,2012
320,IN_YEAR,2012
321,IN_YEAR,2012
322,IN_YEAR,2012
323,IN_YEAR,2012
324,IN_YEAR,2012
325,IN_YEAR,2012
326,IN_YEAR,2012
327,IN_YEAR,2012
328,IN_YEAR,2012
329,IN_YEAR,2012
330,IN_YEAR,2012
331,IN_YEAR,2012
332,IN_YEAR,2012
333,IN_YEAR,2012
334,IN_YEAR,2012
335,IN_YEAR,2012
336,IN_YEAR,2012
337,IN_YEAR,2012
338,IN_YEAR,2012
339,IN_YEAR,2012
340,IN_YEAR,2012
341,IN_YEAR,2012
342,IN_YEAR,2012
343,IN_YEAR,2012
