head,relation,tail
213,TO_DESTINATION,AT
242,TO_DESTINATION,AT
271,TO_DESTINATION,AT
300,TO_DESTINATION,AT
329,TO_DESTINATION,AT
358,TO_DESTINATION,AT
387,TO_DESTINATION,AT
416,TO_DESTINATION,AT
445,TO_DESTINATION,AT
474,TO_DESTINATION,AT
505,TO_DESTINATION,AT
536,TO_DESTINATION,AT
567,TO_DESTINATION,AT
598,TO_DESTINATION,AT
629,TO_DESTINATION,AT
660,TO_DESTINATION,AT
691,TO_DESTINATION,AT
722,TO_DESTINATION,AT
753,TO_DESTINATION,AT
784,TO_DESTINATION,AT
815,TO_DESTINATION,AT
846,TO_DESTINATION,AT
877,TO_DESTINATION,AT
908,TO_DESTINATION,AT
938,TO_DESTINATION,AT
969,TO_DESTINATION,AT
1000,TO_DESTINATION,AT
1031,TO_DESTINATION,AT
1062,TO_DESTINATION,AT
1093,TO_DESTINATION,AT
1124,TO_DESTINATION,AT
1155,TO_DESTINATION,AT
1186,TO_DESTINATION,AT
1216,TO_DESTINATION,AT
1247,TO_DESTINATION,AT
1278,TO_DESTINATION,AT
1309,TO_DESTINATION,AT
1341,TO_DESTINATION,AT
1373,TO_DESTINATION,AT
1405,TO_DESTINATION,AT
1437,TO_DESTINATION,AT
1469,TO_DESTINATION,AT
1500,TO_DESTINATION,AT
1532,TO_DESTINATION,AT
1564,TO_DESTINATION,AT
1597,TO_DESTINATION,AT
1630,TO_DESTINATION,AT
1663,TO_DESTINATION,AT
1696,TO_DESTINATION,AT
1729,TO_DESTINATION,AT
1762,TO_DESTINATION,AT
1794,TO_DESTINATION,AT
1827,TO_DESTINATION,AT
1860,TO_DESTINATION,AT
1892,TO_DESTINATION,AT
1924,TO_DESTINATION,AT
1956,TO_DESTINATION,AT
1988,TO_DESTINATION,AT
2020,TO_DESTINATION,AT
2052,TO_DESTINATION,AT
2084,TO_DESTINATION,AT
2116,TO_DESTINATION,AT
2148,TO_DESTINATION,AT
2181,TO_DESTINATION,AT
2213,TO_DESTINATION,AT
2245,TO_DESTINATION,AT
2277,TO_DESTINATION,AT
2309,TO_DESTINATION,AT
2341,TO_DESTINATION,AT
2372,TO_DESTINATION,AT
2404,TO_DESTINATION,AT
2436,TO_DESTINATION,AT
2468,TO_DESTINATION,AT
2500,TO_DESTINATION,AT
2532,TO_DESTINATION,AT
2564,TO_DESTINATION,AT
2595,TO_DESTINATION,AT
2625,TO_DESTINATION,AT
2654,TO_DESTINATION,AT
2686,TO_DESTINATION,AT
2718,TO_DESTINATION,AT
2749,TO_DESTINATION,AT
2781,TO_DESTINATION,AT
2813,TO_DESTINATION,AT
2845,TO_DESTINATION,AT
2876,TO_DESTINATION,AT
2907,TO_DESTINATION,AT
2937,TO_DESTINATION,AT
