source,target,relation
213,37,TO_DESTINATION
213,66,TO_DESTINATION
213,95,TO_DESTINATION
213,3573,HAS_PURPOSE
213,3581,IN_YEAR
213,3606,HAS_EXPENDITURE
213,3607,HAS_EXPENDITURE
213,3608,HAS_EXPENDITURE
213,3609,HAS_EXPENDITURE
213,3610,HAS_EXPENDITURE
213,3611,HAS_EXPENDITURE
213,3615,HAS_EXPENDITURE
213,3616,HAS_EXPENDITURE
213,3617,HAS_EXPENDITURE
213,3618,HAS_EXPENDITURE
213,3619,HAS_EXPENDITURE
213,3620,HAS_EXPENDITURE
213,3621,HAS_EXPENDITURE
213,3622,HAS_EXPENDITURE
213,3623,HAS_EXPENDITURE
214,38,TO_DESTINATION
214,67,TO_DESTINATION
214,96,TO_DESTINATION
214,3573,HAS_PURPOSE
214,3581,IN_YEAR
214,3606,HAS_EXPENDITURE
214,3607,HAS_EXPENDITURE
214,3608,HAS_EXPENDITURE
214,3609,HAS_EXPENDITURE
214,3610,HAS_EXPENDITURE
214,3611,HAS_EXPENDITURE
214,3615,HAS_EXPENDITURE
214,3616,HAS_EXPENDITURE
214,3617,HAS_EXPENDITURE
214,3618,HAS_EXPENDITURE
214,3619,HAS_EXPENDITURE
214,3620,HAS_EXPENDITURE
214,3621,HAS_EXPENDITURE
214,3622,HAS_EXPENDITURE
214,3623,HAS_EXPENDITURE
215,39,TO_DESTINATION
215,68,TO_DESTINATION
215,97,TO_DESTINATION
215,3573,HAS_PURPOSE
215,3581,IN_YEAR
215,3606,HAS_EXPENDITURE
215,3607,HAS_EXPENDITURE
215,3608,HAS_EXPENDITURE
215,3609,HAS_EXPENDITURE
215,3610,HAS_EXPENDITURE
215,3611,HAS_EXPENDITURE
215,3612,HAS_EXPENDITURE
215,3613,HAS_EXPENDITURE
215,3614,HAS_EXPENDITURE
215,3615,HAS_EXPENDITURE
215,3616,HAS_EXPENDITURE
215,3617,HAS_EXPENDITURE
215,3618,HAS_EXPENDITURE
215,3619,HAS_EXPENDITURE
215,3620,HAS_EXPENDITURE
215,3621,HAS_EXPENDITURE
215,3622,HAS_EXPENDITURE
215,3623,HAS_EXPENDITURE
216,40,TO_DESTINATION
216,69,TO_DESTINATION
216,98,TO_DESTINATION
216,3573,HAS_PURPOSE
216,3581,IN_YEAR
216,3606,HAS_EXPENDITURE
216,3607,HAS_EXPENDITURE
216,3608,HAS_EXPENDITURE
216,3612,HAS_EXPENDITURE
216,3613,HAS_EXPENDITURE
216,3614,HAS_EXPENDITURE
216,3615,HAS_EXPENDITURE
216,3616,HAS_EXPENDITURE
216,3617,HAS_EXPENDITURE
216,3618,HAS_EXPENDITURE
216,3619,HAS_EXPENDITURE
216,3620,HAS_EXPENDITURE
216,3621,HAS_EXPENDITURE
216,3622,HAS_EXPENDITURE
216,3623,HAS_EXPENDITURE
217,41,TO_DESTINATION
217,70,TO_DESTINATION
217,99,TO_DESTINATION
217,3573,HAS_PURPOSE
217,3581,IN_YEAR
217,3606,HAS_EXPENDITURE
217,3607,HAS_EXPENDITURE
217,3608,HAS_EXPENDITURE
217,3609,HAS_EXPENDITURE
217,3610,HAS_EXPENDITURE
217,3611,HAS_EXPENDITURE
217,3615,HAS_EXPENDITURE
217,3616,HAS_EXPENDITURE
217,3617,HAS_EXPENDITURE
217,3618,HAS_EXPENDITURE
217,3619,HAS_EXPENDITURE
217,3620,HAS_EXPENDITURE
217,3621,HAS_EXPENDITURE
217,3622,HAS_EXPENDITURE
217,3623,HAS_EXPENDITURE
218,42,TO_DESTINATION
218,71,TO_DESTINATION
218,100,TO_DESTINATION
218,3573,HAS_PURPOSE
218,3581,IN_YEAR
218,3606,HAS_EXPENDITURE
218,3607,HAS_EXPENDITURE
218,3608,HAS_EXPENDITURE
218,3609,HAS_EXPENDITURE
218,3610,HAS_EXPENDITURE
218,3611,HAS_EXPENDITURE
218,3612,HAS_EXPENDITURE
218,3613,HAS_EXPENDITURE
218,3614,HAS_EXPENDITURE
218,3615,HAS_EXPENDITURE
218,3616,HAS_EXPENDITURE
218,3617,HAS_EXPENDITURE
218,3618,HAS_EXPENDITURE
218,3619,HAS_EXPENDITURE
